TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
03:20:28:1729786373,11.762633,-258.370911,652.910950,100.473129,-210.834503,540.610962,124.948425,-22.417576,423.515289,-32.733337,26.692751,335.119965,-83.987740,44.278374,279.335724,-91.593872,-198.136963,726.120056,-264.228699,-53.251804,756.442932,-377.874268,-42.291115,604.958191,-444.584076,-45.958828,554.479187
03:20:28:1729786501,23.920370,-252.534058,696.601440,143.731598,-198.268524,605.551514,199.091049,0.892848,491.018280,4.564345,25.768520,461.320740,-36.907772,60.081047,399.000519,-93.733681,-183.518631,756.665833,-296.028259,-53.878902,740.810303,-351.199768,-50.633690,547.705994,-437.100586,-29.948914,555.102051
03:20:28:1729786646,35.864159,-255.484940,724.278259,168.277710,-206.207626,651.071228,325.581543,-36.590843,606.341248,163.473724,6.779093,501.712738,115.600037,-56.898449,481.863800,-87.053360,-186.566986,771.489075,-288.983429,-59.914394,742.871826,-305.445038,-62.165165,543.303955,-387.799957,-30.951883,535.682983
03:20:28:1729786773,41.681141,-253.253342,740.108459,182.587601,-213.919052,681.223694,338.562134,-38.278683,674.364502,206.992889,-111.302910,546.852234,137.534531,-152.387451,560.745789,-84.562927,-185.988937,777.346252,-286.125427,-61.940872,741.033508,-263.631042,-89.409920,544.480713,-340.019226,-53.340599,519.229309
03:20:28:1729786901,40.550507,-256.636505,756.188049,186.945969,-211.979141,707.866821,329.309296,-26.665016,751.971619,245.963531,-114.526695,593.312988,200.632843,-183.711884,598.349243,-88.525963,-187.018250,786.461426,-292.150970,-62.402500,744.966797,-233.058868,-102.682281,555.918030,-305.739197,-71.776741,514.405212
03:20:28:1729787046,29.316288,-252.819626,758.481995,168.830551,-202.845352,709.081177,310.954437,-25.668308,746.945984,230.099380,-101.085655,588.430054,207.687225,-178.123718,589.497864,-95.170998,-185.473618,790.169434,-291.558838,-62.712349,752.599854,-219.059647,-109.337128,576.889038,-284.169342,-78.824753,528.995178
03:20:28:1729787173,25.794752,-255.751129,761.050415,161.878540,-200.493515,706.803528,294.628571,-13.844520,733.007629,197.500183,-94.337494,586.290771,182.170258,-173.096375,582.391907,-99.276596,-189.722900,795.012939,-291.492920,-61.647610,752.272888,-210.993591,-119.044556,583.103760,-272.364075,-88.120010,530.580688
03:20:28:1729787301,22.180174,-255.569641,761.822388,158.611343,-204.666733,703.181396,287.814697,-12.506440,711.885010,183.784698,-91.124138,567.587524,161.298538,-167.845291,578.897583,-102.345032,-188.279526,797.839539,-295.560120,-61.628834,749.123108,-214.548386,-128.031464,582.341064,-272.496521,-93.691422,527.375488
03:20:29:1729787446,20.163797,-259.768463,761.558899,154.206299,-218.614716,691.632935,287.222778,-28.541924,707.511597,148.364365,-57.272831,573.406616,131.216858,-134.686676,556.713135,-102.291031,-188.158661,797.629639,-295.438721,-60.496731,747.281311,-232.050934,-134.420303,575.295715,-284.089813,-93.276512,518.631348
03:20:29:1729787574,18.089930,-260.296387,757.033875,152.125061,-218.997650,687.063232,287.093536,-30.285910,704.333557,147.448288,-53.906754,569.907471,128.794617,-130.672745,551.709595,-103.957367,-188.364960,794.149475,-296.357880,-58.501438,746.067749,-234.872574,-129.455154,572.039917,-287.387482,-87.687614,516.210510
03:20:29:1729787701,16.660019,-261.003235,747.032776,149.128586,-217.142593,678.172302,281.470367,-28.647766,694.139160,137.219345,-42.406612,565.497620,116.370201,-117.169945,544.344727,-103.878654,-190.122147,786.965942,-295.379150,-58.418064,750.675720,-249.027008,-121.577545,570.772278,-294.824036,-80.982567,509.473969
03:20:29:1729787846,14.421987,-256.550720,739.776184,145.979523,-212.362976,672.670593,276.910706,-26.486769,698.371826,140.327255,-24.279371,563.390625,108.066238,-95.069778,545.933411,-104.606926,-189.305771,784.470398,-295.014771,-59.048565,750.838806,-252.322678,-110.571327,568.240295,-298.306122,-75.224701,504.949280
03:20:29:1729787974,13.681892,-255.133118,735.464478,143.276093,-208.707108,666.755859,274.016937,-23.701012,693.863770,136.203979,-24.437803,560.909668,104.565086,-95.554001,544.721252,-104.249878,-188.177521,782.394165,-295.012787,-59.201286,750.484985,-253.714951,-106.834694,567.101379,-300.003510,-73.296371,503.381714
03:20:29:1729788101,11.824614,-255.985672,730.758728,139.812302,-212.135376,660.358948,272.408508,-29.569536,680.011108,129.853134,-20.588535,554.576660,92.163681,-88.519531,540.663757,-103.660370,-188.618011,779.959778,-292.629364,-59.800194,749.067444,-258.385986,-104.943611,565.092834,-303.052582,-71.617676,500.941803
03:20:29:1729788246,10.936174,-259.610809,730.665894,137.787247,-218.020447,657.634644,267.292603,-32.657070,665.279663,118.548988,-25.778639,547.432190,91.595406,-94.609650,520.022400,-103.607063,-190.341537,779.253479,-290.847504,-60.489578,744.262207,-262.919189,-107.283676,559.846741,-307.101715,-71.816132,496.634766
03:20:30:1729788374,6.203428,-255.442886,728.309204,132.224091,-217.272354,654.857727,265.571411,-37.029385,652.602234,111.020447,-34.757240,545.252930,89.113533,-103.146629,514.474426,-105.640251,-187.695206,780.110840,-292.493317,-61.029076,744.954224,-263.597321,-108.558899,562.681702,-306.447083,-72.018295,500.186920
