TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
15:20:39:1772998146,101.494965,-217.689484,681.991211,179.228149,-171.395706,547.298767,154.896606,-25.939554,355.197266,-20.879477,-7.626725,254.775467,-97.725693,5.542491,222.481827,-11.445858,-165.708237,767.559998,-203.731033,-26.719898,699.726196,-262.731537,-34.792671,502.689240,-350.573395,-46.754417,482.763306
15:20:39:1772998291,101.537231,-217.226303,681.299866,180.171432,-171.697144,546.967529,157.116135,-27.810648,353.653473,-18.454165,-10.255272,252.902985,-95.505211,3.394870,221.395706,-10.652572,-163.492065,767.091064,-205.380020,-28.289318,698.936279,-262.968292,-40.172588,501.761261,-351.026764,-49.511017,481.558533
15:20:40:1772998420,104.633873,-220.732178,685.326965,185.766205,-174.282333,551.918823,163.913956,-30.995623,356.830475,-11.072948,-16.785179,252.967590,-88.764977,0.973331,224.319931,-11.136868,-166.932327,767.547241,-203.808365,-27.014584,699.540527,-258.698334,-43.361115,501.071808,-348.635376,-48.843002,487.068695
15:20:40:1772998546,107.593452,-222.053146,685.290466,188.648758,-176.369690,553.837280,171.754303,-38.057476,358.589996,-1.151562,-27.326197,256.023743,-76.693565,-2.921745,229.869339,-7.545136,-161.168564,761.746460,-205.459442,-30.440702,702.797241,-274.302338,-55.578362,512.553101,-359.493591,-52.453079,483.708771
15:20:40:1772998691,111.582039,-222.667313,683.300232,200.206940,-177.260147,554.514099,190.377884,-39.242893,355.014160,13.035461,-36.850914,254.677063,-63.379070,-8.950673,231.447113,-6.527901,-159.316162,757.833801,-210.333344,-28.530239,707.282288,-289.102814,-58.796482,518.971802,-369.721588,-56.073944,476.654236
15:20:40:1772998819,113.723557,-225.599106,685.325684,202.377441,-178.711151,556.364136,198.494904,-41.391193,355.731964,24.452702,-40.404392,249.156326,-52.933372,-11.274893,230.665863,-4.995167,-159.902847,758.188232,-211.629135,-30.468420,714.227539,-300.156494,-61.376835,530.057129,-373.126923,-56.374615,475.530670
15:20:40:1772998947,114.298439,-224.121109,683.560425,202.044098,-177.885696,553.463013,196.310883,-42.384968,351.585114,29.153854,-35.076649,234.660782,-50.085091,-5.981721,227.144882,-3.921762,-158.531509,757.234680,-215.049683,-34.967041,717.686890,-337.205261,-47.465981,551.405457,-382.922363,-55.935280,472.892456
15:20:40:1772999091,112.217987,-220.016571,672.006226,197.806030,-170.254135,546.447327,196.954483,-35.583260,350.447540,31.176685,-27.464046,239.587952,-47.458321,-4.848506,226.481415,-2.143398,-158.359634,748.053406,-211.360626,-36.415054,739.649658,-343.790283,-52.485561,587.803833,-418.851624,-19.050426,553.038269
15:20:40:1772999219,111.077728,-217.903793,666.411499,200.734787,-166.303284,544.437622,211.542007,-30.619219,349.392334,44.439213,-21.148819,240.595184,-35.102894,-3.681904,225.210129,-4.348405,-158.911072,742.707520,-214.866165,-39.810890,757.799316,-357.600555,-35.241913,614.721924,-438.409454,-19.018543,580.518982
15:20:41:1772999363,104.894638,-217.252167,665.821411,199.154770,-172.850967,545.425720,217.515976,-38.839592,350.729950,54.351719,-20.601603,238.319519,-25.472504,-4.462415,224.470505,-5.408354,-153.191132,744.305542,-217.049271,-37.141434,753.786011,-365.754364,-35.468498,617.830139,-442.800598,-20.381861,576.024475
15:20:41:1772999491,88.423088,-216.751511,664.342163,181.399170,-172.501266,545.306396,204.281265,-36.239624,356.594788,51.660358,-10.882996,235.769547,-28.155022,0.742178,224.088745,-14.398999,-150.983810,747.707886,-221.151443,-32.697090,755.054382,-367.712738,-36.994129,620.823364,-438.415070,-6.394245,578.809570
15:20:41:1772999619,87.184372,-217.513565,662.303162,181.886627,-172.616074,544.750244,207.232620,-34.708710,357.403259,55.904865,-8.614171,234.953644,-23.965370,2.373012,222.746475,-17.599903,-151.677124,743.410278,-221.049484,-27.381435,746.604431,-361.992950,-28.421616,606.277771,-431.966461,1.990505,562.836304
15:20:41:1772999762,79.120148,-216.926651,659.890503,179.634811,-176.579346,544.736084,217.242599,-29.722483,365.432434,66.853973,-2.303366,241.062332,-12.611739,5.174016,223.080124,-19.209713,-152.648438,748.417908,-222.031097,-25.855497,753.304810,-363.275177,-26.727924,612.325073,-431.105743,1.042431,563.453430
15:20:41:1772999891,76.603409,-215.415146,658.309631,175.009552,-168.150406,544.083130,197.547791,-19.366846,363.716095,54.350437,30.030701,237.529465,-25.759497,14.790823,230.475189,-19.447714,-154.541962,752.462708,-221.545456,-26.332558,750.695557,-360.992065,-22.336042,607.875366,-432.556793,2.744665,562.969971
15:20:41:1773000020,75.209206,-216.418015,657.349976,173.622253,-169.612030,541.659180,193.528473,-15.191168,363.960876,49.016819,39.413948,239.640503,-29.190563,14.332455,233.975723,-19.165449,-155.424423,754.132568,-222.718353,-26.971935,750.016357,-362.837860,-21.438158,606.285278,-435.251678,3.048543,561.407043
15:20:41:1773000163,72.915596,-219.242004,658.753723,173.269958,-170.301941,542.391968,191.629288,-8.697420,366.670166,45.920654,50.234589,241.440948,-30.618187,17.862284,234.021057,-19.411776,-158.049179,760.154724,-224.855499,-26.738838,751.699280,-364.972107,-21.163708,604.215210,-438.892609,3.873540,559.726746
15:20:41:1773000290,70.792671,-221.762924,660.436707,172.267014,-171.103088,544.844421,189.595169,-4.950121,372.322723,46.033531,57.613625,245.431442,-28.939489,21.935575,235.011719,-20.414911,-160.387878,763.401062,-224.769501,-26.357933,751.204468,-365.631805,-18.730951,603.690918,-440.299408,4.434552,558.900024
15:20:42:1773000419,70.675232,-223.663086,659.643921,172.927551,-170.928543,544.432800,191.014832,-0.238791,374.868042,47.744720,64.561371,247.262924,-26.161686,26.082438,236.053162,-20.473883,-161.766144,763.668518,-225.159424,-26.143208,751.497986,-366.825592,-18.595020,603.420349,-441.590424,4.269162,557.790588
15:20:42:1773000563,71.252266,-223.144943,660.391785,173.935883,-170.813477,545.535645,193.211899,0.647947,376.982056,51.035645,66.408203,248.738617,-23.130850,28.850712,236.363297,-20.318613,-161.497070,764.082031,-225.417603,-26.672155,751.442444,-367.246582,-18.707932,603.624329,-441.789185,4.341496,557.776306
