TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
14:38:15:1770453618,132.554733,-219.555588,663.997864,206.919800,-173.475464,535.524414,109.232719,-15.131056,396.052612,-79.994225,29.318907,378.586365,-158.774765,42.411488,364.903656,20.483694,-169.591797,741.039490,-164.497879,-34.108372,681.379333,-241.980286,-25.063398,499.795319,-291.983551,-5.740158,430.967468
14:38:15:1770453807,127.088280,-223.205688,753.909607,220.347458,-172.337143,627.283936,147.876831,-25.450588,443.013245,-26.414425,-4.064918,333.544708,-82.331795,-1.592000,268.371826,-1.694217,-168.551270,820.232788,-191.064133,-51.081619,704.280640,-254.706406,-67.614883,505.319885,-305.634644,-83.703979,429.796875
14:38:15:1770453953,125.348732,-214.763168,790.107483,235.802567,-164.954636,666.582825,203.577362,5.304545,481.310730,24.502247,22.271786,367.395935,-32.579533,23.329390,299.910492,-11.961058,-155.632019,839.178589,-215.674271,-27.966291,744.242798,-304.381683,-13.861348,548.234192,-367.987213,-29.030539,479.075653
14:38:15:1770454080,122.770752,-216.803818,838.340271,249.139282,-164.406876,731.987915,280.669739,12.902573,548.185181,114.903046,59.315929,417.753143,71.925186,87.570908,344.305145,-19.468843,-151.703110,877.194214,-227.456650,-29.650867,774.287720,-337.052612,0.349576,587.412292,-381.979279,-18.193586,503.992981
14:38:15:1770454209,122.835457,-221.660919,879.906433,258.711761,-171.653946,781.464783,338.802551,-0.412703,604.309204,163.610031,-21.413113,477.226349,78.038269,-10.874472,450.459625,-21.301785,-151.025681,903.753723,-240.119278,-34.116665,813.547668,-337.106110,-16.314665,616.659851,-380.727814,-31.529144,531.136658
14:38:16:1770454353,116.545776,-215.624298,900.516052,255.312378,-165.164001,815.772095,376.906647,-5.855351,662.896851,216.959686,-70.372017,540.376404,133.239273,-95.042641,550.213318,-25.217251,-150.383179,926.310852,-235.875122,-22.888317,853.301880,-305.842468,-21.042665,650.821838,-383.141663,-39.637630,599.609558
14:38:16:1770454479,118.671547,-211.924042,920.263123,265.829468,-165.144730,849.741150,413.460693,7.077784,738.152161,262.522217,-99.246895,633.597412,217.522873,-169.798050,606.077820,-25.385656,-150.659683,944.980835,-231.876724,-12.123644,877.765747,-267.162445,-41.294151,667.837158,-326.392883,-91.491150,613.357056
14:38:16:1770454607,128.004303,-209.129837,934.758423,280.008575,-164.616577,871.716309,436.251953,25.643900,804.970886,304.178009,-104.910568,698.448486,288.520813,-191.870712,708.100464,-18.969290,-150.263519,956.736389,-225.672775,-5.987912,893.416199,-209.528076,-94.477272,696.155518,-213.485550,-175.302094,645.059509
14:38:16:1770454755,135.089355,-210.310104,945.591614,288.248688,-162.630661,888.626892,446.715149,30.829266,842.416138,327.128296,-114.485931,741.712524,311.115082,-199.605377,760.447815,-12.714170,-152.097916,960.895874,-213.201553,6.589741,918.859192,-151.353516,-148.715881,781.839294,-152.920547,-243.913177,775.600342
14:38:16:1770454880,141.829575,-208.099991,949.576172,294.341095,-160.178802,895.240784,455.400757,31.586514,860.204895,345.522736,-116.972656,755.801941,322.924957,-199.818497,775.544434,-5.795479,-152.437622,967.134521,-208.899628,2.964526,935.784485,-124.498650,-167.367645,835.514771,-101.421906,-255.677216,861.393982
14:38:16:1770455008,148.373932,-207.366272,951.789673,295.865204,-155.611710,896.594971,455.540314,30.337542,861.766663,354.289062,-122.631790,764.191040,332.845825,-204.595871,780.424072,3.222786,-153.680328,968.087463,-196.170990,-0.508055,947.900757,-118.167435,-177.728302,865.555176,-85.966797,-257.779968,899.934021
14:38:16:1770455153,148.795349,-205.556274,947.682800,294.639832,-153.727783,892.946106,455.621063,28.847902,862.936646,360.409729,-123.872009,763.021667,333.770325,-204.278915,774.356201,5.629055,-151.911530,968.332153,-194.067841,-1.746774,964.022949,-120.533180,-181.310638,887.861267,-93.867363,-260.644714,926.098206
14:38:16:1770455279,149.142899,-206.494400,948.402710,293.767975,-155.760345,892.534180,451.566528,27.310192,862.214783,363.577545,-125.854431,759.277710,338.049194,-206.271225,768.545349,7.853754,-151.894897,971.506714,-194.240128,-7.965147,964.943298,-133.298508,-191.991318,892.259705,-110.752945,-265.237976,942.048523
14:38:17:1770455408,149.404968,-206.511383,947.313843,292.977722,-153.695694,892.628479,450.839691,26.966795,859.689453,357.244781,-125.987206,764.000366,346.089355,-207.010712,784.770447,9.089128,-152.108002,971.217651,-192.756226,-10.369837,963.933655,-136.109344,-196.273285,896.147827,-112.724403,-268.799255,945.628052
14:38:17:1770455552,150.460464,-206.657898,945.348145,292.129517,-154.467560,887.210266,451.055542,24.877131,861.020020,358.180695,-126.101669,763.484741,344.214569,-207.589981,778.321167,10.959953,-152.472229,969.907227,-191.520355,-13.567627,964.023926,-137.566650,-202.398300,905.642883,-121.801048,-262.971619,970.926636
14:38:17:1770455679,150.661621,-205.898651,946.800537,292.304169,-153.708221,888.515808,450.406921,26.191504,860.893982,358.155670,-126.195015,764.912659,344.985291,-207.594101,780.978943,11.110849,-151.989334,971.502686,-192.596558,-14.812842,966.085083,-138.407578,-203.929138,908.760498,-123.860298,-263.302643,975.431274
14:38:17:1770455807,151.399765,-202.579315,945.306458,293.288788,-153.304932,889.238647,450.309509,24.808661,860.715210,361.760193,-129.415634,767.638672,347.338654,-209.348480,786.273499,13.311073,-149.260986,970.234253,-191.085999,-16.601696,971.436951,-144.468292,-206.782013,916.901917,-125.480370,-265.799835,981.765564
14:38:17:1770455952,151.306976,-201.883240,946.713318,292.942017,-155.614166,890.144043,449.549438,21.405653,864.007385,369.546875,-134.064713,767.772949,354.027008,-214.592255,779.613586,14.456637,-145.823853,968.718933,-187.806839,-12.466341,971.891785,-152.779343,-204.543747,919.674072,-143.168747,-253.716171,993.493835
14:38:17:1770456081,153.121521,-200.055984,947.476440,297.868103,-155.361115,892.602173,454.952423,25.518551,866.898376,376.004639,-132.701599,768.771606,347.470917,-210.763763,780.648193,14.487989,-144.212234,970.762817,-188.921936,-6.823465,975.209473,-155.206055,-201.453522,921.176758,-130.366150,-268.788025,976.140869
14:38:17:1770456210,153.530869,-200.164993,949.483093,298.195312,-156.063583,893.232422,455.451019,24.953709,866.886658,378.190216,-132.563828,765.838135,346.013275,-207.732315,785.329529,15.076049,-143.563721,973.191833,-188.917633,-6.534248,977.974426,-155.496094,-201.303940,923.348755,-136.633148,-276.753113,969.640442
14:38:18:1770456352,156.603363,-202.468475,953.560791,300.186279,-153.539841,891.713257,457.638977,29.226482,855.501099,381.085205,-135.834503,761.624146,347.470093,-208.339371,790.578735,16.227171,-145.443954,977.345703,-189.773010,-6.540522,984.332642,-151.471024,-203.810089,933.301819,-146.527435,-263.240326,1002.728699
14:38:18:1770456479,159.037811,-198.039536,949.851257,302.291809,-149.071152,887.538940,460.293701,32.029064,844.189148,383.403870,-137.726212,758.839233,348.722595,-209.804855,787.883301,19.263416,-143.183929,980.117004,-185.479874,-2.185866,991.018188,-154.551147,-201.198334,940.804932,-149.381241,-269.776550,1001.350647
14:38:18:1770456607,165.020157,-199.499893,953.634949,309.167969,-151.032440,885.781616,463.109375,35.636379,829.158752,382.461548,-141.515594,754.247009,345.388641,-209.657257,792.717590,23.791344,-140.894165,985.951355,-184.246536,2.986103,997.205444,-146.524460,-199.275101,949.515198,-150.377701,-270.672729,1009.346497
14:38:18:1770456752,168.173035,-200.065735,951.286926,313.008667,-148.619522,881.939331,466.017792,40.743141,817.786804,378.717621,-141.243027,755.249207,343.989624,-212.299026,793.214172,25.751665,-142.417984,989.474915,-182.252350,6.966248,1004.485229,-143.109467,-198.332138,958.558411,-145.670624,-270.438416,1019.523132
14:38:18:1770456879,175.100632,-203.168549,955.947144,316.076569,-147.128815,878.651184,463.857117,44.928566,805.066345,378.514282,-143.694153,756.892883,346.320282,-216.789124,794.424072,31.396999,-144.352264,993.525879,-176.668533,7.275417,1011.061340,-142.834045,-200.556396,966.396851,-142.394684,-281.965363,1015.398132
