TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
02:47:09:1727787481,35.371201,-185.509659,690.610229,102.103172,-165.253082,563.113647,133.942490,-40.530338,390.738617,-14.677927,-40.032879,288.195923,-61.562695,-48.829853,230.367615,-69.988075,-122.545242,748.569275,-265.841125,-24.274834,742.659119,-354.717010,-89.508850,596.783936,-409.031616,-125.778915,549.355591
02:47:09:1727787610,40.760303,-182.286346,688.131897,127.442207,-164.295166,564.480469,171.419067,-41.913284,379.202423,16.191526,-55.802784,270.545166,-52.326302,-56.773510,231.482620,-74.824379,-114.599136,739.061462,-285.483917,-24.054945,763.974670,-436.324127,-38.572353,645.437744,-445.108307,-84.234459,574.370239
02:47:09:1727787753,39.012856,-175.058548,693.945312,142.034683,-154.321365,590.180420,211.786484,-69.282372,400.858307,72.265121,-82.023582,281.937775,3.098547,-64.155357,255.149597,-77.617859,-109.902863,729.357849,-282.528198,-24.949976,753.141296,-433.404877,-37.490234,644.928467,-444.281006,-81.528214,576.439880
02:47:09:1727787881,52.905205,-187.120880,713.921692,178.434875,-155.852753,629.090881,336.311737,-13.249815,540.130371,241.339508,-177.799423,503.225037,180.053833,-224.735901,525.530884,-75.298401,-125.211121,743.431763,-286.983459,-29.782944,779.328979,-431.731659,-41.982170,647.754639,-444.762207,-86.631165,574.803345
02:47:09:1727788026,53.032711,-183.763901,720.888672,172.938171,-156.202255,625.643494,309.433685,-52.161999,470.776917,172.316452,-143.172119,368.012360,141.724991,-209.820602,401.340485,-74.334381,-121.282043,753.277649,-287.781464,-25.265507,779.760559,-432.282928,-43.527348,647.891418,-444.862946,-87.636345,574.280518
02:47:09:1727788154,53.718544,-181.977127,726.949402,179.654358,-150.094376,642.570496,321.103821,-11.349663,523.868286,228.711929,-179.206512,494.399384,205.388214,-234.567520,547.960144,-73.149673,-119.895508,760.820862,-287.711426,-25.962017,783.749695,-432.010345,-46.490437,652.241211,-443.468201,-88.044144,577.063660
02:47:09:1727788282,54.702362,-175.965485,723.021423,174.617020,-139.926300,628.573364,295.805634,11.816934,500.785645,182.700180,-144.888840,473.952332,161.743317,-211.779968,514.551147,-72.084763,-115.998245,762.873840,-289.801056,-24.865091,782.897400,-424.206879,-26.565702,638.081421,-450.808136,-76.178596,571.460815
02:47:10:1727788426,48.109764,-168.253799,717.399658,165.529846,-132.035873,621.689880,287.892456,27.979807,509.893768,143.589691,-94.054298,468.989197,142.878067,-167.452866,501.495850,-77.026550,-107.740372,756.919067,-292.703094,-19.333668,784.688782,-425.406036,-31.347744,641.207214,-449.719879,-78.364136,572.872620
02:47:10:1727788554,49.268326,-180.419647,721.445923,161.548111,-142.578308,618.202332,272.986633,25.760382,505.787659,112.621605,-72.851418,459.190979,112.732452,-151.180084,477.837555,-73.713730,-114.634392,762.162170,-288.635620,-20.861834,783.333923,-425.594757,-32.847324,643.086609,-449.765625,-79.031242,573.812988
02:47:10:1727788681,43.143818,-172.195374,712.027588,157.760056,-131.606186,615.370239,269.937744,25.306553,492.930908,109.458626,-74.669586,460.982300,111.432487,-151.539230,481.596558,-76.711342,-109.126007,757.673218,-290.708282,-20.905420,782.431458,-424.537781,-32.527428,642.214294,-449.145569,-78.046974,573.876892
02:47:10:1727788827,41.052677,-167.674988,706.205200,152.148102,-126.084435,608.727173,266.220642,29.398874,491.562744,123.438698,-89.326027,454.356537,116.140572,-159.902817,488.235931,-77.588974,-105.263062,751.282104,-289.694366,-22.269293,782.637695,-422.099823,-35.416611,644.520630,-447.332306,-78.377228,576.074585
02:47:10:1727788954,35.124382,-160.155533,691.798218,138.595276,-119.720795,591.831909,263.356354,31.996750,494.333252,129.909439,-91.060928,463.921722,105.713921,-159.571518,487.585052,-79.419853,-98.641411,736.522705,-284.889191,-24.373539,783.351929,-415.726532,-40.475166,651.588745,-442.628845,-77.029869,582.963562
02:47:10:1727789081,38.307705,-158.758102,691.147827,137.002457,-121.938759,587.576721,257.387756,31.680607,492.366425,123.469490,-91.950066,492.876617,110.788315,-166.198090,485.650940,-73.929070,-98.038330,738.360352,-277.722473,-25.432505,784.775269,-408.261688,-43.392548,655.538391,-439.075836,-75.828476,587.446838
02:47:10:1727789226,48.807888,-171.023254,703.273010,150.310867,-130.853592,596.632080,256.990601,34.871235,490.282104,121.727081,-95.564064,494.969330,105.817009,-168.946030,473.711426,-70.260155,-106.039658,742.605835,-277.433868,-20.617544,785.657593,-415.104340,-47.330597,656.952576,-441.986084,-80.793442,584.717957
02:47:11:1727789354,45.641045,-167.503738,698.168335,145.364334,-122.174416,595.290771,262.556549,35.086365,496.011078,117.085365,-77.546982,482.178009,105.797020,-152.252930,469.575287,-71.089607,-103.616745,737.288208,-275.703735,-23.436554,780.546753,-415.610657,-48.097626,659.201721,-440.380524,-80.014832,587.300476
02:47:11:1727789481,36.258221,-156.487045,685.727356,129.373901,-125.071480,575.404114,260.715942,27.496784,492.907196,106.700584,-70.327301,500.208984,113.491699,-144.128479,484.254303,-74.032356,-94.242874,735.445679,-278.870270,-24.590782,783.731628,-414.999481,-46.969223,660.601013,-439.601929,-78.538506,589.459778
02:47:11:1727789626,40.596649,-156.837952,692.424622,137.951889,-127.734123,584.778198,261.786591,20.579487,482.634552,128.153549,-105.069458,484.145325,129.772522,-181.045792,489.113495,-73.450043,-94.642479,736.783875,-278.146332,-21.783098,785.575806,-415.216400,-51.381573,663.753357,-438.704529,-80.695290,590.864624
02:47:11:1727789755,41.636883,-157.128937,695.358704,146.303925,-127.139954,593.378052,260.622437,24.663553,480.647675,126.082794,-102.712570,472.527222,122.297241,-179.592651,470.784668,-73.535583,-96.804695,743.059509,-280.837036,-19.254395,784.266357,-406.483459,-28.694447,645.012634,-443.477295,-69.606705,583.125366
02:47:11:1727789881,37.997387,-160.521652,689.206116,141.332642,-127.825157,585.531860,259.570587,24.937927,476.561890,122.973175,-101.145897,466.752563,125.316338,-177.248062,480.012024,-76.325127,-99.593719,739.560974,-283.104736,-20.107605,784.217896,-408.620850,-30.226704,643.938293,-444.885101,-71.582275,581.495544
02:47:11:1727790027,39.147514,-161.159607,690.805603,138.843124,-126.173378,585.328918,258.544220,24.715513,479.373199,123.388397,-99.500114,460.837219,121.640541,-173.935623,478.827576,-74.509651,-98.717850,737.986328,-280.066589,-21.770985,782.636597,-408.100739,-35.818211,647.294861,-443.718811,-73.905273,583.397278
02:47:11:1727790155,40.408394,-161.119431,688.613892,138.214661,-125.842575,582.636230,258.130341,24.313137,478.480499,125.149574,-101.158363,463.396057,128.418045,-175.196945,480.959778,-72.152504,-99.302467,737.021179,-276.605988,-23.710363,782.675842,-405.928497,-38.684025,650.148743,-441.863892,-74.489609,585.714966
02:47:11:1727790281,41.851833,-161.499298,688.353638,138.125488,-126.150291,581.121643,254.912201,24.629980,474.627228,123.630821,-103.341896,473.837952,125.885117,-179.371902,476.655914,-70.714058,-99.647125,736.778015,-274.993530,-24.607307,783.429016,-406.640869,-41.662491,653.634277,-442.118164,-75.754524,588.092224
