TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
17:38:58:1781297264,304.826477,-259.326019,687.155212,367.319061,-173.751312,587.202393,310.631256,12.211412,489.504822,137.470779,56.178276,451.678497,74.074081,74.223587,414.217194,214.956116,-215.070892,782.532776,74.169456,-43.832287,780.276367,-7.738843,29.002726,631.332764,-63.718311,54.081249,577.468872
17:38:59:1781297393,312.191559,-253.353241,712.783142,384.764465,-173.089432,611.726135,341.825897,13.920278,502.941895,167.531952,53.947491,455.081146,98.681755,72.630302,426.484314,216.039627,-205.275879,801.923218,63.988178,-41.417480,778.699158,-11.964910,22.995390,619.870728,-68.440216,51.584423,566.564514
17:38:59:1781297522,314.265167,-258.584961,739.183228,380.734161,-191.565552,625.054382,355.572052,-7.755682,501.726044,176.437012,27.025450,460.963684,110.680801,58.410080,434.184265,214.666992,-197.693497,817.406250,62.310921,-32.065002,787.749634,-4.079632,10.130033,615.519409,-62.220421,46.747070,567.927856
17:38:59:1781297664,319.651489,-254.026886,756.539246,396.381866,-195.142014,640.105530,372.363983,-22.051737,493.945831,187.245163,7.198736,456.056000,120.835800,46.031288,436.471619,216.085114,-188.738846,830.985962,41.021706,-43.548374,784.568054,-19.966349,-26.731180,601.567139,-60.779861,33.704548,556.985413
17:38:59:1781297795,316.814240,-250.817871,775.893921,418.897095,-212.391953,675.064148,434.659088,-10.744959,577.923401,271.773987,-76.318695,509.846802,273.363647,-131.971786,454.953217,210.452957,-182.205978,838.671265,34.980148,-45.694500,785.349548,-20.735588,-57.929493,603.372742,-53.290512,8.880332,563.829041
17:38:59:1781297920,315.407654,-250.906647,776.602722,414.200592,-209.636963,672.822998,446.730957,-30.216888,540.963623,268.442444,-63.537674,488.300629,261.499695,-128.977722,445.665497,209.239136,-182.201324,840.510193,32.463581,-45.327187,789.651245,-18.399521,-62.626675,606.094971,-51.606216,2.847522,564.400879
17:38:59:1781298065,311.604919,-248.408768,770.840881,407.184021,-195.432999,663.260376,440.963440,12.832582,571.484497,311.340393,-130.218597,566.372803,354.479492,-189.371552,599.049683,203.679565,-182.452408,842.077881,22.920652,-41.865498,791.858887,19.053522,-86.091606,601.409180,-33.277863,-37.374142,553.035767
17:38:59:1781298195,303.791107,-258.961670,764.564880,391.667267,-203.660141,655.691772,416.502777,4.590645,576.025879,279.730682,-121.183319,545.529663,316.237579,-186.671371,567.663513,200.866470,-191.070221,835.920654,29.931440,-44.962929,794.833069,12.873069,-104.632721,614.534485,-34.148396,-55.882999,564.559570
17:38:59:1781298322,292.196045,-265.222046,749.317566,374.812347,-206.487564,640.788025,405.924866,-1.387671,564.350830,260.489716,-111.279182,529.665771,295.236694,-179.126984,540.799683,197.388229,-197.170166,828.282227,25.132149,-52.667080,814.492188,-92.353027,-31.162497,669.431580,-68.368134,-8.755850,593.255066
17:39:00:1781298464,276.919586,-266.996643,730.865845,351.800751,-208.966446,619.012756,385.585419,-9.745136,540.523804,236.376038,-112.123291,521.613342,263.171936,-173.676422,556.238342,188.494354,-198.142761,812.142273,26.104406,-48.591389,805.086975,-103.494438,-23.160463,676.622559,-85.661827,-6.540118,599.030457
