TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
03:29:59:1730357606,-45.847927,-239.313446,584.636292,87.520599,-181.922104,494.305542,257.321716,-18.558056,402.078796,132.706924,96.572327,274.334686,98.173561,134.613037,202.679626,-156.374100,-171.723923,677.661194,-254.685699,-19.375294,860.953918,-348.289398,130.503479,738.372437,-412.574493,186.982086,697.259033
03:29:59:1730357655,-23.856703,-243.501862,617.927917,93.997704,-175.522537,520.202026,154.526855,24.699406,388.117706,12.607559,123.516472,273.204926,58.820324,140.765503,202.510620,-136.999481,-188.931656,708.807922,-251.474060,-23.027256,860.160889,-362.696014,116.374969,748.779053,-408.461914,181.419983,700.931519
03:29:59:1730357926,43.511566,-248.668884,719.189514,159.225555,-189.399933,644.356079,202.700699,-15.257567,515.139893,53.245277,21.171215,411.255920,6.687325,31.649727,350.745117,-64.665466,-185.531952,782.321533,-219.180878,-30.550734,836.047913,-360.074158,5.768575,717.036499,-398.010193,-20.387852,648.029602
03:29:59:1730358052,72.479210,-252.317703,784.187195,199.407318,-193.529846,700.433838,302.557678,-6.673098,589.235352,134.831772,-38.495468,481.268463,110.234901,-114.378761,455.393982,-46.764828,-188.681122,852.599243,-218.454956,-30.344353,927.330994,-302.914551,-38.543453,741.211792,-314.786652,-122.254211,709.512573
03:29:59:1730358180,95.104385,-246.810196,826.203918,229.703003,-194.749969,750.267578,363.940125,-11.127874,666.663086,233.807785,-129.506561,564.578796,168.968323,-136.169586,510.893951,-27.696587,-189.806503,894.395142,-198.274734,-21.185175,953.041321,-247.571548,-103.954788,770.991516,-228.025467,-187.250977,740.227783
03:29:59:1730358326,120.617561,-243.610977,867.712769,256.756378,-191.129578,795.613342,400.091339,-2.205267,750.910889,293.961914,-152.963638,667.054504,307.954071,-226.357727,628.472717,-7.973425,-180.827484,918.612000,-175.971054,-8.627266,969.443604,-170.143570,-144.756363,816.134949,-159.175125,-232.869141,798.430054
03:30:00:1730358452,141.158676,-241.760010,900.760498,282.851532,-188.648346,838.215759,427.160858,3.870010,801.624451,328.705627,-154.020554,717.367493,352.453491,-234.092361,702.670715,9.040095,-181.333511,949.010803,-159.574951,-4.488692,991.254333,-123.724739,-156.455902,855.586304,-108.433495,-244.374069,836.251953
03:30:00:1730358582,152.985306,-244.417847,927.662781,291.433502,-187.357895,860.561279,437.072510,4.842281,828.477051,337.701385,-148.183777,736.837463,334.849670,-226.823563,705.318115,19.145430,-183.453079,971.423889,-152.699738,-8.655578,1008.255371,-106.028816,-162.337402,878.042847,-83.853409,-250.100815,866.357361
03:30:00:1730358725,156.815735,-239.479599,937.462708,296.192810,-180.149521,873.312378,446.279358,10.328144,850.160217,341.919617,-139.217773,757.698975,331.895782,-212.511963,716.068970,22.493393,-178.854706,981.041870,-153.508896,-7.913977,1018.630005,-108.668999,-154.978500,879.955872,-91.235168,-243.661072,866.351685
03:30:00:1730358852,153.164230,-241.288788,943.255432,295.728638,-185.123978,878.208252,446.775909,9.532631,858.950256,347.972229,-140.563934,755.344666,344.614594,-218.058868,717.937073,16.513765,-178.579559,984.569519,-159.500229,-2.646312,1022.998779,-115.867416,-150.830734,880.664673,-103.072136,-239.414398,856.439331
03:30:00:1730358980,144.110214,-241.960373,941.132080,288.107727,-189.415192,878.833862,442.454041,1.271129,868.099854,359.298309,-131.465775,734.147644,346.966614,-208.662277,699.359375,11.664338,-174.474304,985.552795,-178.120697,-14.003515,1014.418335,-185.059052,-133.517410,843.457336,-172.584213,-219.311630,812.282776
03:30:00:1730359125,131.183762,-239.053635,934.365173,275.895050,-190.988602,869.526123,433.135101,-1.044810,871.566711,369.170349,-114.808929,710.939087,372.801514,-189.807251,669.161804,-0.251681,-176.119095,985.572388,-215.633453,-47.205597,974.535645,-289.626923,-114.206696,790.247437,-300.991150,-176.530563,722.821777
03:30:00:1730359252,111.081795,-236.154465,924.051819,257.621979,-197.116577,861.919922,416.306030,-10.426387,871.317932,376.875153,-105.825737,693.282593,379.643066,-188.363190,671.373657,-21.908165,-174.650650,966.584351,-245.563950,-69.630547,929.605225,-367.610535,-98.501030,763.164429,-424.893433,-115.280113,693.162109
03:30:01:1730359380,90.070251,-241.808441,899.993225,237.044128,-198.782700,846.427795,393.417053,-16.939507,877.126038,376.186218,-97.044838,691.467712,343.703033,-174.774155,690.248535,-40.710346,-174.760620,934.928223,-263.796814,-80.435089,889.873535,-393.924103,-92.218117,731.254333,-470.931824,-77.098450,685.749634
03:30:01:1730359525,67.832901,-237.132431,879.793030,217.045761,-199.248581,835.272461,368.899292,-20.160526,878.486084,359.437378,-114.159767,701.773743,330.439636,-192.077576,704.752869,-61.422813,-169.999619,906.897949,-279.845612,-81.851730,846.086548,-414.370941,-76.949081,694.249390,-502.151855,-83.984978,677.859131
03:30:01:1730359652,49.151608,-237.622070,863.552185,199.356094,-202.101990,822.659607,343.357483,-20.065010,877.128479,344.378540,-127.313286,708.197754,325.217865,-206.753723,693.239868,-79.501930,-166.674637,883.744202,-296.820923,-81.974106,815.846558,-436.148468,-61.395458,670.157410,-522.726257,-83.206924,664.695862
03:30:01:1730359780,37.128853,-236.716812,850.101074,188.545868,-203.696686,815.170593,327.464172,-22.427485,878.925781,350.600403,-122.196426,708.293091,318.834381,-198.210724,702.030212,-89.930832,-164.605820,869.372375,-304.040253,-73.452469,804.432312,-448.401581,-45.851170,666.549500,-530.968811,-72.773994,647.263916
