TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
17:35:47:1781105633,137.829208,-242.480606,636.089539,161.076981,-205.658890,486.019073,108.874573,-28.191925,349.628876,-73.354797,13.130836,301.725983,-150.205017,-7.213768,292.039795,93.018799,-161.719025,746.632385,-51.978573,21.305994,764.438599,-198.295929,-2.432341,637.216187,-276.580688,-12.872660,602.603333
17:35:47:1781105903,161.951675,-246.611618,671.652466,176.196899,-198.182999,513.108093,106.469421,-16.528978,364.693054,-87.873070,21.144352,309.934052,-171.805038,25.538921,324.344757,117.947777,-166.220200,794.411804,-44.456326,19.763023,829.192261,-200.375549,-3.561542,693.520630,-283.514801,-16.106304,656.634338
17:35:47:1781106032,162.850998,-248.804779,674.725525,170.917160,-193.948578,531.684204,96.995354,-44.020145,380.543640,-67.156273,22.684284,314.356689,-145.221924,22.754627,322.858826,124.407104,-171.749298,786.604919,-31.900398,-4.888206,807.855652,-171.501816,-9.337837,676.786682,-253.708359,-6.884449,657.162903
17:35:47:1781106160,163.220337,-252.508347,678.138611,171.040359,-194.609467,535.840210,97.062546,-44.573040,383.853271,-67.475456,21.107674,316.040039,-145.637634,21.436296,325.693787,123.658028,-176.028366,790.464172,-30.047937,-5.466566,808.296570,-161.020828,-14.758204,668.075500,-244.541412,-4.670087,657.425598
17:35:47:1781106304,170.371643,-262.040924,669.738586,175.570694,-198.677780,526.335938,102.571770,-38.364964,378.423676,-69.763687,24.563969,318.338257,-149.417282,15.881503,316.350830,136.100052,-192.862488,791.012634,-1.709104,-35.528152,896.759766,-153.476562,-45.971233,773.971497,-210.888947,-29.642397,711.643799
17:35:48:1781106434,177.835648,-267.352936,659.019043,181.487366,-200.616150,515.893127,101.322067,-34.514473,376.572540,-69.850403,28.432182,310.441010,-149.159821,14.507810,312.235321,147.138214,-197.326065,782.207520,15.061766,-27.996899,878.905701,-154.579041,-27.332378,779.829468,-207.914795,-23.092884,711.580017
17:35:48:1781106560,185.479187,-269.433228,652.791382,184.066254,-200.726120,509.250397,101.354401,-31.992153,371.519623,-71.390938,32.223232,306.144501,-150.624893,15.483441,311.867493,154.518143,-199.920578,777.909729,20.834372,-16.555265,847.632874,-147.021820,-6.064359,743.100830,-212.672043,-11.179786,685.611694
17:35:48:1781106703,187.896561,-268.841095,631.802307,187.565079,-194.568237,491.462433,102.598633,-21.234512,362.760651,-74.547295,29.349077,299.679932,-151.809784,5.768400,302.890900,156.035797,-200.273300,757.390564,27.935787,-25.063976,851.071411,-147.568130,-14.702880,761.764832,-207.960632,-10.600550,699.209961
17:35:48:1781106833,191.281921,-261.542877,612.071960,190.643051,-180.368286,476.766357,101.784843,-9.177789,350.248169,-78.809845,31.783369,293.766998,-153.786804,2.876593,295.642883,160.063232,-203.946213,741.874207,35.808025,-41.560902,857.774231,-139.597763,-26.534468,771.493530,-200.165237,-12.606252,711.263916
17:35:48:1781106959,197.590988,-247.247604,595.130798,197.260834,-171.317047,460.444305,101.429436,-2.672136,342.235199,-79.235718,32.881805,292.800690,-152.236908,2.636494,297.399353,163.695984,-200.161942,725.379211,37.376671,-49.403278,847.380188,-138.639847,-31.155439,770.185547,-199.109390,-13.735555,712.711304
17:35:48:1781107233,190.317200,-259.085419,587.937256,205.992920,-188.228043,445.444244,144.138168,-10.474339,302.442963,-48.288837,36.848179,311.964661,-127.192337,16.422709,300.088623,150.780243,-202.291870,720.197021,32.671341,-35.862164,848.092468,-140.969452,-2.799694,752.610840,-201.353333,-17.998711,689.463013
17:35:50:1781108960,177.625916,-263.865112,550.170776,222.801025,-203.914932,413.848877,239.804794,-36.458416,256.704926,56.877895,17.837185,226.002472,-15.821259,30.199055,257.631104,121.174210,-205.903931,671.154053,42.860329,-45.186371,823.098633,-121.661591,25.711485,744.291443,-194.337250,3.078811,703.423828
17:35:50:1781109103,185.540192,-270.354218,572.353577,209.450211,-197.736420,427.150940,192.549622,-2.025276,288.226501,18.802761,83.510307,231.002472,-32.805233,22.052176,255.259125,126.559822,-196.270309,693.266968,25.035166,14.266714,767.202576,-148.001785,69.386993,673.192932,-215.090652,9.069402,670.088928
17:35:50:1781109232,199.764435,-260.254425,605.091919,220.983185,-190.922714,455.227600,202.356766,7.796362,315.300873,22.503912,82.627029,252.786392,-34.311436,19.661095,257.435852,129.861267,-182.494934,720.882202,17.973848,27.569965,791.868530,-160.641434,73.189575,697.335266,-217.028625,4.999347,674.219788
17:35:51:1781109361,217.514175,-266.353455,633.411194,253.076645,-211.423782,489.240723,196.478851,-12.469798,385.483978,27.076244,66.200699,332.216187,-17.617371,40.984406,270.015747,144.512161,-174.451477,723.938782,12.638346,21.011934,723.443359,-149.052155,73.563545,624.552734,-222.522781,31.553940,643.931030
17:35:51:1781109503,230.231827,-269.580627,669.446045,276.034668,-222.800827,529.275635,225.210419,-66.850410,368.811401,50.991119,1.789868,323.794098,-15.560500,40.933273,303.014771,161.960373,-188.933762,770.627319,36.917477,5.560234,805.266479,-106.432587,52.403149,681.606140,-182.758743,33.766293,646.411133
17:35:51:1781109633,240.832855,-257.619293,682.633362,280.511902,-212.143890,542.586060,228.303406,-34.629284,410.916962,39.633617,-7.594755,409.035950,-8.230660,24.159342,354.603943,170.945328,-178.415863,781.582947,49.633427,17.675505,800.958862,-83.410294,33.826355,662.053040,-165.700653,23.834433,642.346558
17:35:51:1781109760,242.731949,-256.238190,687.570312,278.688812,-211.343033,546.590393,219.351440,-34.267872,418.181366,30.189960,-15.311565,424.693817,-31.467817,30.000452,405.149506,175.005829,-176.604141,787.250244,59.770367,21.489038,815.662109,-79.485107,45.700100,684.790283,-158.370010,30.835983,656.740967
17:35:51:1781109903,240.519424,-257.055298,683.688049,276.743469,-212.195099,542.663147,218.207138,-34.031406,415.704651,29.096142,-15.161573,418.821411,-36.603733,28.306749,414.197388,171.379333,-173.852600,779.764465,67.113358,29.918522,808.955933,-78.230904,67.423286,688.466675,-153.564667,42.565266,658.029236
17:35:51:1781110032,236.283737,-257.160339,676.620972,271.578552,-208.434784,537.824341,214.116547,-25.818766,422.362213,28.065161,-3.410699,412.768097,-36.267296,17.673134,451.312531,167.690323,-170.746078,768.048584,74.157875,35.391777,793.542847,-75.927460,88.939888,690.037720,-146.527924,50.948540,665.379395
17:35:51:1781110159,226.552887,-256.603271,672.050232,264.743896,-205.412186,534.990234,223.383179,-13.722837,429.381927,49.569115,48.612026,400.239502,-17.408703,39.129593,438.286682,160.681671,-172.885773,767.202209,63.152775,31.163052,786.060791,-87.397697,98.077454,692.821289,-149.435547,47.905365,667.975647
17:35:51:1781110303,217.636398,-256.200500,663.642456,256.281281,-202.644669,528.302246,225.363708,-5.399480,431.950653,49.458504,41.282425,393.247070,-16.097206,39.890862,434.085480,154.987839,-175.138687,762.204163,49.072987,20.902723,799.246277,-107.970108,65.622955,705.228210,-169.801834,18.474157,675.701355
17:35:52:1781110432,207.461655,-256.725006,656.201538,246.830795,-202.080750,521.696289,218.614258,-3.868327,426.898743,42.488396,43.318451,390.559357,-21.929976,40.980774,433.021667,148.578674,-178.069992,758.462402,45.616486,15.726656,811.253113,-113.506546,68.430435,725.519043,-184.768784,25.670961,726.452148
17:35:52:1781110560,183.611694,-261.022125,646.242126,229.924774,-204.625610,515.242554,212.891968,1.589566,440.440491,38.556053,35.962814,390.166382,-25.881622,39.153435,431.586395,134.286087,-186.164978,754.250183,48.986786,14.617846,805.917603,-113.129875,37.982292,715.678223,-190.697189,11.288770,724.914246
17:35:52:1781110703,176.793030,-260.743042,630.235779,217.916214,-196.082382,502.527344,213.720383,14.871314,446.080475,45.565651,34.633499,375.802979,-16.507074,40.309883,419.474304,125.688911,-198.599792,743.144653,43.679169,-33.293961,867.546570,-112.779747,4.457403,775.041809,-178.268402,16.067488,727.169495
17:35:52:1781110832,171.776901,-256.367523,610.680908,224.513062,-201.726456,481.418793,237.814987,-23.037329,351.393585,60.973778,23.154360,317.921570,8.552071,35.519764,373.151184,113.003563,-188.725250,719.512756,33.676365,-0.652984,815.540771,-122.594322,57.809486,728.545715,-191.906540,12.203392,724.630005
