TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
17:41:01:1781420212,223.950760,-233.220093,551.001526,224.392593,-158.642380,409.115417,138.057022,21.647230,280.348541,-55.898415,60.175797,307.277374,-130.151016,96.888107,305.332214,182.780121,-181.030441,685.928101,60.450649,-19.569740,818.836182,-121.231773,23.006615,741.235901,-200.039093,52.932507,712.035583
17:41:02:1781420338,224.974335,-244.162979,565.531189,239.167648,-164.768494,432.356476,162.335190,28.629467,338.379974,-22.526085,79.065979,341.578522,-88.266891,120.667625,324.903778,186.070297,-188.131119,693.556519,65.392593,-12.845859,787.583008,-108.346382,35.269848,715.727966,-190.245468,60.073631,711.660400
17:41:02:1781420466,223.490723,-252.697174,578.762207,247.193024,-193.234039,449.329620,176.202530,-32.086372,326.449341,9.972334,35.813675,311.047333,-58.571846,53.326092,335.408478,178.401352,-196.249863,694.805054,46.639832,-37.472801,767.589905,-108.830002,26.461706,696.532532,-181.972565,58.707996,706.571411
17:41:02:1781420612,236.214600,-266.041321,591.100952,268.971710,-201.909927,459.686920,197.511108,-34.300568,332.899689,22.891819,24.283800,304.848450,-45.546814,52.260723,327.573059,189.986252,-207.322678,711.490784,50.486862,-41.299969,775.778870,-114.041580,19.985962,706.716187,-196.939026,24.831747,713.098755
17:41:02:1781420738,234.148285,-262.269928,593.035889,248.641953,-208.854935,458.798340,187.631622,-47.058895,331.564301,21.141514,17.604612,307.765930,-43.116192,51.390125,325.810974,193.134155,-197.642761,706.320435,51.720261,-44.280632,772.132812,-114.362450,10.763578,720.358887,-194.375839,19.683672,717.901062
17:41:02:1781420866,235.156189,-264.311493,596.674316,258.614410,-211.349823,462.812469,204.961411,-48.816994,332.105103,38.196369,12.718916,299.323547,-26.941061,45.797318,316.482758,193.208099,-198.866486,709.650513,50.258965,-45.354561,774.079773,-116.362747,9.043344,721.331787,-196.601837,18.160473,718.626343
17:41:02:1781421011,235.092407,-264.363800,596.509583,258.621338,-211.358826,462.668549,205.071411,-48.763527,331.974640,38.324879,12.824156,299.134491,-26.817225,45.912640,316.276855,193.145020,-198.954330,709.517029,50.203518,-45.442818,774.010437,-116.419273,9.013418,721.286743,-196.661057,18.161301,718.615784
17:41:02:1781421138,235.891129,-266.661438,580.525452,262.965881,-193.421341,455.565765,190.463181,-17.015755,348.506561,22.573112,54.163082,327.413635,-53.542099,51.289749,329.995178,188.741226,-215.249283,701.629272,45.017303,-59.635967,770.855957,-124.145042,1.780070,724.281982,-204.182983,18.057970,716.354614
17:41:02:1781421266,226.258499,-244.711517,557.061523,248.351196,-170.486145,433.202698,190.481934,12.088328,332.019012,17.123133,66.611099,326.863342,-57.453243,55.857517,331.318695,184.921661,-197.808899,680.323792,46.186119,-52.376255,771.506958,-122.452629,-0.684895,718.746521,-199.838058,22.701365,710.415283
17:41:03:1781421411,218.266235,-242.024506,539.567200,238.042313,-168.128494,410.142792,192.965408,19.865915,298.957397,15.341103,75.177162,319.603058,-59.878139,59.066174,330.625519,181.075485,-193.111298,666.937500,65.438553,-35.404415,782.662781,-97.505867,21.604671,704.383179,-180.461441,30.223896,711.109985
17:41:03:1781421538,213.797577,-255.643097,543.593079,234.869019,-187.761597,415.601685,193.970505,-6.167129,305.543427,24.981007,59.897198,301.176392,-48.015663,60.202728,319.865631,174.932892,-201.213684,663.749634,53.166576,-45.304222,760.772095,-110.305779,19.176155,706.926453,-190.997147,27.590391,707.725708
17:41:03:1781421665,217.246201,-253.784653,543.666504,238.448227,-189.737793,415.533813,194.866058,-14.215037,300.823334,28.066858,51.639519,288.531677,-41.820282,58.141865,313.881592,176.329941,-199.941406,661.751404,49.140602,-49.929558,756
