TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
15:35:19:1773877848,59.119602,-184.233749,773.353638,188.501740,-136.626297,689.434875,233.842636,2.238288,499.490051,157.719666,40.863735,317.388428,149.261032,48.236103,234.648621,-72.710869,-108.883827,763.224426,-155.791519,-6.146677,557.909973,-138.562119,-9.274488,355.002289,-127.329964,-17.504700,266.184082
15:35:19:1773877902,59.156818,-184.173492,773.640015,188.551468,-136.670425,689.682922,233.951813,2.024815,499.618713,157.841354,40.527374,317.478577,149.384659,47.835476,234.730103,-72.694366,-108.864738,763.466064,-155.812912,-6.311335,558.065674,-138.576050,-9.599477,355.154510,-127.345741,-17.902798,266.339935
15:35:19:1773878171,59.155334,-172.672180,797.863037,196.280746,-134.961288,729.015015,211.299774,62.602459,603.807983,130.602386,136.033981,440.121521,137.143768,71.833046,390.065918,-73.208832,-111.933197,768.678711,-116.603020,-31.195179,548.155884,-107.680374,-8.584922,350.437439,-99.985390,-13.243831,262.962128
15:35:19:1773878298,59.167053,-172.418274,798.161316,196.249680,-134.600571,729.185303,211.083145,62.909573,603.805176,131.309097,137.907928,440.340820,137.495270,73.868004,390.014282,-73.225853,-111.707321,768.926636,-116.629761,-31.167046,548.294189,-107.690964,-8.763814,350.522461,-100.081047,-13.517587,263.031433
15:35:20:1773878427,58.738846,-172.466751,797.878357,195.601974,-134.951736,728.198425,216.776901,57.770329,596.252625,139.786148,134.018417,431.927612,141.853561,68.757187,382.786652,-73.639961,-111.578018,768.591309,-116.847145,-30.935436,547.841431,-107.728325,-8.583693,349.981873,-100.186165,-13.372820,262.447174
15:35:20:1773878572,58.340847,-172.377075,795.419739,193.744934,-134.925415,722.442261,228.047165,40.481716,570.120117,163.048477,119.842621,401.821960,148.376999,51.478004,359.313690,-74.174965,-111.105179,766.538635,-117.985786,-30.425266,545.577026,-108.866478,-8.546243,347.397522,-101.955635,-13.878540,259.724426
15:35:20:1773878698,58.404507,-175.084976,793.424255,191.798264,-134.805450,715.317139,244.635406,14.850244,539.930969,201.054108,82.905136,358.597565,137.692657,33.889725,339.201996,-75.925926,-112.201942,772.978027,-141.562927,-23.748219,558.610107,-128.596451,-8.095665,358.601105,-112.640366,-2.496561,271.481689
15:35:20:1773878827,56.832340,-175.885590,794.070862,190.761780,-137.719498,715.638306,252.086945,-0.472352,532.902466,207.148819,54.574699,347.452057,138.623215,10.974869,333.251678,-75.781631,-109.940720,772.648743,-141.982178,-18.293381,559.701111,-117.084015,-7.843349,360.409271,-104.958221,-5.543853,272.493439
15:35:20:1773878971,56.834221,-175.788361,794.113159,190.736420,-137.660858,715.641174,251.991684,-0.587836,532.770874,206.914566,54.247318,347.304932,138.384308,10.633238,333.201691,-75.771774,-109.846909,772.703186,-142.010406,-18.259884,559.758728,-117.131744,-7.860666,360.474701,-105.003517,-5.581960,272.564423
15:35:20:1773879098,56.833122,-175.787445,794.113464,190.734894,-137.660721,715.640381,251.988800,-0.590160,532.767822,206.908997,54.242130,347.301758,138.378494,10.627929,333.200226,-75.772690,-109.845657,772.703674,-142.011810,-18.259197,559.759155,-117.133430,-7.860595,360.475128,-105.005157,-5.582155,272.564819
15:35:20:1773879227,56.833122,-175.787445,794.113464,190.734894,-137.660721,715.640381,251.988800,-0.590160,532.767822,206.908997,54.242130,347.301758,138.378494,10.627929,333.200226,-75.772690,-109.845657,772.703674,-142.011810,-18.259197,559.759155,-117.133430,-7.860595,360.475128,-105.005157,-5.582155,272.564819
15:35:21:1773879371,56.833122,-175.787445,794.113464,190.734894,-137.660721,715.640381,251.988800,-0.590160,532.767822,206.908997,54.242130,347.301758,138.378494,10.627929,333.200226,-75.772690,-109.845657,772.703674,-142.011810,-18.259197,559.759155,-117.133430,-7.860595,360.475128,-105.005157,-5.582155,272.564819
15:35:21:1773879498,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:21:1773879627,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:21:1773879771,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:21:1773879897,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:21:1773880029,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:21:1773880171,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:21:1773880297,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:22:1773880428,56.829498,-175.785828,794.113770,190.730927,-137.660919,715.639587,251.984085,-0.593960,532.764404,206.901428,54.234848,347.298187,138.370392,10.620918,333.198792,-75.775536,-109.842751,772.704346,-142.014557,-18.256441,559.760071,-117.136528,-7.858727,360.476135,-105.008232,-5.580684,272.565918
15:35:22:1773880570,50.911522,-176.932022,794.112854,185.673416,-143.364563,707.901978,248.794769,-11.362061,514.702332,191.776825,40.429470,326.442230,117.236649,0.916041,322.683838,-84.758575,-107.175262,790.648132,-161.464539,-16.355217,574.207825,-122.996849,-23.294064,371.966675,-107.935265,-10.840065,283.163605
15:35:22:1773880698,53.352852,-171.169983,803.971619,192.126633,-141.868698,701.122620,247.202744,-15.919701,478.928314,169.656036,35.301579,280.301270,86.375343,0.294585,291.608948,-93.057480,-106.565247,831.319763,-169.266373,-6.456293,596.703674,-111.675827,8.054384,382.722748,-44.659660,30.959440,314.944519
15:35:22:1773880828,50.659786,-168.536514,801.581604,188.072556,-141.292297,696.575623,234.233261,-19.981295,469.763519,153.025574,28.394047,271.844543,68.684715,-2.581421,286.646271,-94.300446,-102.515236,832.898804,-180.008682,-5.638160,600.158081,-132.445984,-1.712494,383.236877,-103.477631,-0.505659,289.575470
15:35:22:1773880971,50.655140,-168.534668,801.544861,188.058762,-141.289444,696.533325,234.092804,-20.041727,469.667206,152.706299,28.192986,271.791870,68.393585,-2.814598,286.676147,-94.299332,-102.514465,832.874146,-180.025894,-5.622000,600.152222,-132.490067,-1.688573,383.229431,-103.538605,-0.482035,289.564697
15:35:22:1773881098,50.041534,-167.503799,801.261414,189.079971,-140.529648,698.664978,235.575073,-21.561317,471.086395,143.580826,17.414539,276.162415,57.909309,-9.050258,291.316925,-95.016586,-99.929619,829.337341,-187.715561,-6.516926,598.275452,-131.278076,-18.513483,384.100983,-119.650414,-12.286974,287.079041
15:35:22:1773881227,52.910088,-168.687286,795.085938,185.690552,-141.702454,694.813293,267.899994,-26.320055,487.215332,133.759750,-9.605996,325.273010,56.273685,-2.635958,285.057373,-82.247475,-104.027321,837.837463,-266.685638,16.417734,707.236206,-213.888336,-28.787758,505.243896,-180.126480,-13.815766,418.479980
15:35:23:1773881371,51.914997,-169.893326,793.006836,186.518784,-140.266266,702.387268,313.056458,-35.228760,519.430298,159.631210,-26.098629,381.559021,97.038216,-17.943136,323.561188,-78.136002,-109.034935,843.398071,-294.202362,17.529123,854.635376,-283.401642,-27.888283,650.826782,-251.233017,-21.143616,564.579590
15:35:23:1773881498,52.486530,-171.546310,791.853699,184.904404,-139.178909,704.351807,322.700378,-34.246227,536.059631,173.761963,-34.103546,398.579437,116.921051,-22.931700,337.541168,-76.915283,-110.537788,837.740906,-285.658508,14.732756,873.545898,-311.957275,-23.544359,673.612366,-261.473450,-1.295585,601.737427
