TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_zPELVIS_x, PELVIS_y, PELVIS_zANKLE_LEFT_x, ANKLE_LEFT_y, ANKLE_LEFT_zANKLE_RIGHT_x, ANKLE_RIGHT_y, ANKLE_RIGHT_z
03:10:45:-1183363121,84.700447,-248.275055,699.326782,148.404114,-208.601685,540.962585,188.228165,-50.065800,342.593842,22.910431,41.445217,238.488602,-34.845108,65.199646,174.283630,2.387598,-174.534012,811.696899,-202.078644,-22.458136,872.193298,-326.726929,-68.413719,698.760864,-416.886169,-98.556145,714.982910,-2.966578,137.989334,433.601349,-293.522797,274.709229,16.218142,-272.568451,404.304596,220.356369
03:10:45:-1183362995,125.549065,-247.284470,719.532471,187.027298,-201.323257,565.297485,163.913330,9.141564,428.499634,-24.572849,39.747925,337.402802,-24.191967,41.297962,249.579376,49.967506,-173.047165,833.356201,-133.641983,-0.343978,882.667542,-236.992889,-64.003967,706.120422,-311.241333,-122.496025,702.859497,64.239517,145.183411,467.768829,-242.518295,322.467896,18.061325,-201.565765,450.694458,247.027176
03:10:46:-1183362849,179.105087,-250.729385,749.755981,216.342773,-201.245102,597.714966,201.471237,8.479998,480.561584,18.042252,66.285744,418.747772,-10.109696,74.860497,340.211517,103.062721,-178.758255,856.133057,-50.519199,-5.807161,937.643250,-175.426239,-38.008301,778.867676,-225.636871,-94.556473,729.512756,98.439583,137.763031,535.984802,-197.600067,366.971527,76.798813,-178.558105,488.103821,321.672546
03:10:46:-1183362722,208.595184,-260.289764,790.679321,262.926910,-189.397079,667.164734,293.002197,20.330965,594.283386,121.183868,62.480247,530.516602,62.110119,82.319107,483.481598,141.571304,-204.316940,902.400757,29.129938,-29.827700,997.427185,-94.248634,-30.758039,852.367981,-112.407806,-78.132881,785.340759,194.915329,172.195663,759.343506,111.644089,730.078003,586.036499,114.962936,739.645203,786.874207
03:10:46:-1183362595,242.970444,-259.498352,846.420166,314.204987,-186.736404,732.920105,384.842865,24.306133,706.128052,234.070572,130.139343,667.883606,156.777267,119.853668,672.458557,164.263275,-204.252548,951.190674,71.505707,-14.060244,1037.147583,-47.500454,-2.694512,888.804321,-78.627304,-37.410900,818.812012,245.875839,175.961029,840.798340,178.075699,737.619751,662.653198,136.138458,741.708374,846.479309
03:10:46:-1183362448,273.328705,-262.199036,901.709656,354.203827,-196.889908,791.450317,437.561920,7.411450,758.023071,308.707642,143.356857,758.079895,234.287506,126.317841,772.867981,192.795532,-200.472198,1000.508423,131.419586,5.962953,1073.479980,23.129433,43.968151,922.459106,-26.727036,16.879469,860.884644,290.141418,169.571960,887.837402,254.256302,712.310913,702.506897,160.154358,722.622620,849.257080
03:10:46:-1183362320,297.390289,-267.039825,938.544861,382.718201,-203.673569,832.911194,455.676544,1.571655,802.037659,322.190948,126.837044,777.825806,249.244873,123.051353,801.096497,221.785156,-193.674500,1032.284058,192.916855,17.919020,1100.439819,94.830696,115.781334,974.873840,44.392956,109.780884,909.809448,312.231964,158.143082,911.355469,334.746033,722.415955,773.133911,169.267258,702.197937,831.245361
03:10:46:-1183362196,303.661011,-264.042847,972.760315,396.722626,-207.013901,867.122681,503.351929,-12.308017,844.061401,389.166168,134.148560,819.533447,315.160736,124.308815,841.318726,230.426025,-184.846939,1066.678345,201.171204,33.457993,1123.262329,128.479340,141.064560,984.986267,54.108196,104.615051,972.647827,339.506958,164.982056,949.849426,362.919159,703.297668,779.263123,205.379364,703.725098,862.811523
03:10:46:-1183362048,303.883728,-263.993835,988.175659,407.260132,-209.306305,889.379456,514.090820,-11.680171,881.162415,396.688965,130.381180,840.724915,319.443512,129.926254,853.729614,226.452881,-183.574112,1079.114624,195.637054,35.963863,1136.735229,129.311874,152.481171,1000.604736,54.205925,118.336136,983.081787,341.952148,167.525543,961.933777,366.142334,699.918396,783.248352,221.531860,709.386353,883.605591
03:10:47:-1183361923,291.022156,-262.756653,1024.175171,396.183350,-212.779724,919.081360,529.275269,-23.545296,902.421082,409.292603,128.463089,882.497681,338.096466,135.675522,844.926147,215.275757,-183.176788,1123.650879,204.350540,46.042084,1180.175293,135.114517,161.860291,1036.448364,56.637608,130.880524,1015.118225,356.940002,180.014496,1034.041260,378.677612,709.683777,847.571716,240.127487,726.256836,956.685730
03:10:47:-1183361795,260.497345,-259.541138,1024.453247,366.863403,-211.540619,927.790710,518.841553,-47.654465,929.123840,428.592651,115.400612,907.666809,355.263855,130.807739,886.419861,195.681686,-196.180023,1133.166138,211.633621,14.840380,1217.320068,165.554703,149.891647,1091.913818,82.299438,144.617599,1100.465942,363.668304,158.852020,1064.135986,393.174377,686.090149,912.494019,305.360840,706.450012,1051.427124
03:10:47:-1183361649,225.474854,-240.450272,1015.813110,339.552307,-196.652390,925.360413,508.130066,-49.634739,932.609741,421.481445,116.930084,938.100952,355.197205,138.380066,903.062439,164.469299,-177.728271,1127.011108,209.239395,3.199115,1258.385132,186.351273,145.593307,1134.365356,105.451393,142.860229,1112.047974,370.828522,161.703735,1079.831543,429.817719,678.077454,959.731079,372.082001,703.021973,1108.560425
03:10:47:-1183361522,178.430588,-216.244247,1004.381165,295.953583,-180.829575,918.215759,482.153778,-62.438354,925.639465,434.502502,114.768639,951.385620,368.762604,141.741989,921.906494,121.008354,-151.127655,1113.507812,166.744431,40.312126,1222.424683,157.897461,188.518829,1107.676392,84.685799,170.861694,1073.186768,356.989532,161.094650,1082.643433,464.874237,653.307556,984.531982,392.420044,682.388733,1126.633057
03:10:47:-1183361396,136.201950,-199.609436,989.260681,258.842804,-168.754410,907.031799,457.726257,-71.222534,915.585388,422.184540,108.494110,948.066650,359.231750,141.236282,917.545288,85.843864,-121.579491,1095.351685,163.826553,35.464695,1237.734985,182.930466,186.267975,1126.417114,108.700768,181.500931,1089.207886,348.708588,157.621658,1076.016113,545.354431,637.032532,1007.684448,430.875061,683.292725,1117.335815
03:10:47:-1183361249,104.450188,-223.494034,986.249939,226.374329,-189.261780,900.971252,428.331207,-93.389221,914.204651,418.441742,90.637665,951.167053,354.234985,127.025352,925.807922,54.218826,-142.729263,1092.285767,138.424713,7.989377,1241.490845,181.432678,160.691269,1136.312500,106.778755,179.063400,1102.413208,328.770386,135.722015,1066.296875,575.566956,622.091858,1009.331116,457.266266,670.799377,1118.993896
03:10:47:-1183361123,94.370186,-303.939758,984.567200,210.322083,-288.649536,902.499695,384.958496,-168.455200,903.110901,358.102386,3.796801,938.733582,335.138824,46.503601,994.465698,37.638382,-235.203629,1084.147339,93.273300,-81.500900,1225.363037,155.623001,84.596901,1193.872559,210.291367,110.992950,1142.478271,302.742157,40.071091,1077.077271,658.830750,462.762695,1242.324463,494.017212,571.167603,1148.930908
03:10:47:-1183360994,109.075340,-435.803680,1004.623413,237.094437,-394.549805,913.421509,388.322754,-208.314651,934.246826,374.595093,-16.243145,995.635498,326.543976,27.376043,942.444092,32.897293,-364.179291,1116.145630,86.126511,-181.690292,1271.279419,103.121086,19.279198,1236.470703,100.786842,71.410873,1162.717651,267.534943,-13.827345,1132.225952,585.922363,541.355347,1265.504395,432.102661,600.443604,1336.745117
03:10:48:-1183360848,137.384796,-556.425354,1020.014282,274.379547,-506.255798,936.479309,423.474670,-309.286957,975.447205,359.295563,-111.354515,947.831116,349.128357,-24.846912,950.530518,31.635717,-472.603699,1106.213623,53.110004,-290.861511,1283.532959,46.639141,-79.484520,1262.102295,48.154320,7.218659,1226.262939,235.208679,-90.835037,1119.214355,419.055725,509.199615,1154.826782,250.623199,560.369873,1178.511719
03:10:48:-1183360722,148.217621,-578.794617,1039.420410,291.264618,-526.894714,960.355591,422.109070,-314.014679,1012.545349,370.538696,-113.959473,955.791260,378.752655,-25.543503,961.003967,30.210205,-495.691467,1115.702271,21.960777,-343.244019,1326.279053,0.597766,-128.605316,1302.912964,-1.679001,-51.014721,1246.813477,209.824814,-92.127792,1113.824097,395.014404,542.167847,1160.844849,220.895966,580.166992,1187.957275
03:10:48:-1183360596,173.197830,-588.696716,1034.198853,314.182251,-522.870056,959.650818,422.196533,-299.630585,1025.905640,369.876221,-99.723267,964.938538,402.837799,-17.045006,956.073425,44.712238,-519.999268,1108.882690,30.520014,-356.418884,1312.474121,-14.795512,-144.769043,1285.073486,-26.847095,-49.250690,1282.526611,190.097137,-93.574821,1097.852905,355.083710,575.681580,1171.874390,164.548309,589.414246,1203.868042
