TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
17:37:28:1781206882,279.756531,-278.714600,721.105164,365.073090,-228.244461,610.451599,358.105591,-39.496006,495.205627,216.122833,45.305580,410.729523,170.992798,76.755074,356.706268,189.556839,-205.371887,801.948608,33.567383,-47.801838,761.143860,-96.537369,20.388521,643.721191,-168.607925,45.358944,610.953735
17:37:28:1781207011,296.237061,-260.248138,724.254578,383.292572,-197.853333,619.636536,373.251129,-19.124477,486.951935,227.263321,57.705513,398.860321,171.570953,83.461090,351.283386,199.641724,-195.764633,805.026062,26.761099,-53.482666,767.415222,-102.113380,16.470366,647.563416,-171.026825,43.786533,608.913269
17:37:28:1781207153,310.916290,-259.334503,741.070740,410.680267,-198.241913,642.194336,417.632812,-18.837780,502.280182,263.169037,43.620575,408.808258,204.325562,73.361008,364.719849,207.241119,-192.404800,815.544250,41.540833,-38.097679,765.326843,-41.950672,9.103794,597.314514,-116.510841,50.174305,604.180054
17:37:28:1781207282,319.927673,-258.388092,750.035461,421.700439,-198.912796,656.333496,446.694031,-23.576155,519.471436,300.947296,37.304546,417.770752,233.060150,73.700607,405.534943,215.022598,-193.632645,819.698364,56.789162,-35.730587,774.515076,-10.258220,5.481757,601.318909,-85.442589,42.856762,602.952393
17:37:29:1781207411,322.856750,-257.978088,754.577576,427.914154,-199.406418,663.088928,452.376160,-22.224083,527.138733,318.596161,53.412392,417.876648,245.476013,77.435150,403.558563,216.406204,-190.783142,820.972229,42.539791,-47.364609,780.923157,-81.857155,19.096695,652.197266,-110.548264,66.438049,588.630493
17:37:29:1781207554,322.331207,-258.807648,758.080627,428.953033,-200.173889,667.341309,457.447144,-22.399038,531.268738,330.397583,61.332092,418.460541,255.419083,80.196541,404.089813,214.438736,-190.660461,822.462158,37.250847,-52.458942,773.659302,-87.829559,20.297043,647.747620,-112.310020,69.906578,583.645630
17:37:29:1781207681,321.085236,-258.006866,757.219666,425.112366,-199.166718,661.072815,455.545380,-19.487350,524.154114,333.568787,71.258072,408.016693,255.032654,82.733200,404.993561,213.359955,-189.482895,824.678955,33.850491,-50.854012,774.674072,-92.474045,20.505928,646.286743,-114.919800,71.448280,581.364014
17:37:29:1781207810,316.413361,-256.856232,750.818298,405.920410,-194.733612,640.000244,429.084930,-8.599833,504.992889,312.783691,100.771980,394.831818,232.819550,92.364281,399.311737,212.192276,-187.249664,826.230591,29.663399,-47.485905,775.253601,-99.006775,19.915960,643.029602,-118.566338,73.246689,577.520020
17:37:29:1781207954,310.459290,-256.436462,746.586426,415.870544,-191.793625,644.018250,441.648590,0.211120,505.753113,316.134369,96.908081,384.095245,234.095215,93.522850,395.771088,201.635468,-187.057205,825.177246,13.613418,-41.799725,776.605347,-117.687462,18.794819,635.149292,-193.039871,4.869038,589.299805
17:37:29:1781208082,301.030396,-259.035065,736.342102,405.703217,-192.920517,629.436768,429.236420,6.201282,493.293121,304.915192,107.304939,367.993866,222.350296,100.509369,384.393127,192.502472,-190.558105,821.626770,0.850126,-41.162624,777.668518,-142.986450,6.454587,638.113953,-205.726868,-12.324833,575.031616
