TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
17:38:01:1781240004,267.921692,-253.240967,774.426636,358.815033,-216.360992,660.627869,433.443115,-20.027176,583.357361,273.763611,-92.741547,650.427002,275.000946,-161.393829,613.454712,173.893036,-179.810516,849.915100,-3.018513,-43.735268,803.160889,-120.174881,7.337008,662.277344,-188.784683,20.389824,615.662964
17:38:01:1781240049,273.680115,-252.392593,781.460754,366.553192,-216.847839,669.109253,439.949005,-17.660469,596.831116,276.285034,-93.252579,650.903625,292.707642,-168.484009,637.622559,177.095169,-180.058853,855.296448,-0.811875,-45.777008,805.048584,-116.883881,4.097238,662.338257,-185.925339,19.627800,616.832642
17:38:01:1781240318,287.878204,-249.720490,806.769592,386.717560,-207.889084,700.291687,454.563293,-3.033787,632.555664,307.313904,-122.777000,628.542847,337.460602,-183.102676,669.329041,183.947205,-178.652588,874.044556,5.481690,-45.692474,814.190063,-108.759247,2.036899,667.132385,-178.822220,19.957062,622.733765
17:38:02:1781240446,290.265625,-254.013596,816.585754,393.524658,-215.689957,709.446777,459.464050,-5.754799,639.689392,311.118500,-129.381683,623.962219,337.621979,-187.985352,672.266663,182.564590,-179.934204,881.746399,3.354803,-42.379810,816.287659,-112.404228,3.801104,664.759094,-184.747849,19.454771,619.788208
17:38:02:1781240576,290.338837,-251.910233,818.654785,396.801178,-214.348099,712.002625,465.594879,-2.971396,642.560852,314.199402,-124.832245,621.716614,339.903595,-187.881775,665.867493,181.517700,-176.735977,883.278442,-0.458837,-40.645615,814.938660,-118.506142,3.461316,662.302063,-190.689056,18.053051,615.279053
17:38:02:1781240717,288.895264,-253.782272,820.784668,394.033447,-214.716827,713.740295,465.109772,-5.244106,643.498779,313.172638,-124.986404,620.669495,336.389526,-186.895096,667.237488,180.627853,-176.835510,883.231750,-0.324100,-41.562229,813.378479,-119.354050,1.435429,662.070496,-190.590881,16.566250,614.334778
17:38:02:1781240847,288.959534,-254.025406,815.341064,392.193939,-216.833435,706.039490,461.965607,-4.667312,643.689575,311.087433,-126.125870,624.680847,342.550232,-191.074585,661.020447,182.430710,-177.870880,880.571777,0.345126,-43.868034,811.928284,-121.064728,-2.612338,662.260681,-196.870117,13.756648,622.831848
17:38:02:1781240975,286.837677,-253.322281,809.794250,388.771545,-212.895035,703.739014,457.498077,-6.396562,633.716309,299.062195,-111.014580,605.916260,330.873199,-181.430115,625.311157,181.592194,-178.445496,874.974426,0.814945,-47.446892,808.465027,-120.794594,-7.542461,662.257812,-200.237869,10.158216,635.182678
17:38:02:1781241118,291.589233,-254.606430,807.333313,392.477112,-217.278625,696.159363,460.991669,-3.479436,631.311035,300.558624,-113.259644,605.258911,325.635742,-187.806992,626.344116,181.474503,-182.577148,875.082642,-2.589852,-47.174530,808.135742,-124.282913,-11.210848,655.339600,-199.228699,1.491604,611.647583
17:38:02:1781241246,291.638428,-254.629791,807.075378,392.502289,-217.192291,695.906372,460.926117,-3.318653,631.188721,300.482697,-113.070328,605.046753,325.708374,-187.613571,625.975891,181.509079,-182.651001,874.862366,-2.575696,-47.236324,807.976379,-124.270073,-11.209592,655.190186,-199.219101,1.504620,611.503174
17:38:03:1781241375,287.231659,-253.964035,795.075989,381.622314,-211.698624,683.208435,453.280762,-4.206017,622.172791,290.710327,-100.946655,594.208923,307.623383,-162.004120,642.055725,185.378082,-181.121460,867.077271,3.348455,-50.411015,806.444580,-120.279266,-15.779044,661.467346,-191.199951,-5.617743,614.833862
17:38:03:1781241517,285.739288,-255.220627,786.400391,378.828491,-210.940247,678.275940,444.231964,-6.650209,616.955200,284.732056,-100.188660,587.427856,308.732697,-168.680161,615.289612,188.501678,-18
