TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
15:15:21:1772680266,101.220200,-185.762085,634.889587,200.770065,-144.359177,519.246216,197.418747,8.333370,337.513336,26.643871,51.826778,244.553192,-31.506847,59.902950,186.280411,-0.813559,-132.631393,728.171814,-206.755981,-5.802483,725.399353,-357.101990,10.740673,591.866150,-442.242310,-14.972134,587.111145
15:15:22:1772680395,115.247253,-191.170990,640.155762,215.552704,-144.253860,521.055847,224.129669,7.821620,330.659637,38.134068,40.991039,252.013443,-23.418356,57.360344,195.782013,-0.592828,-133.271683,720.644836,-204.636780,8.406669,716.726501,-306.398041,27.420799,537.199646,-393.003479,18.126873,565.161743
15:15:22:1772680523,127.453743,-186.439377,648.124573,225.803192,-129.974716,524.419922,224.987549,28.032974,327.358917,31.100571,67.537209,251.263260,-23.442690,55.539646,183.235565,6.386138,-136.754852,735.704407,-220.306076,-14.914006,734.140015,-344.604614,35.327362,566.467712,-430.600616,-3.174190,576.628784
15:15:22:1772680667,129.112061,-191.843277,665.578552,225.744873,-131.307144,538.922119,207.069717,32.333672,344.835388,31.204477,83.304375,234.750305,-27.292847,50.711029,176.583145,4.415408,-142.158234,750.561401,-222.748734,-22.664562,713.287292,-369.087372,27.673409,562.094177,-448.444275,-22.234764,580.338806
15:15:22:1772680794,123.206841,-197.807388,674.328735,226.293213,-135.650223,553.379639,215.453568,28.889046,358.996857,40.918991,78.949066,245.847260,-19.481737,55.746952,184.996780,-3.829710,-149.022202,756.682251,-228.693985,-25.146835,717.337280,-361.223816,31.121046,555.451294,-437.243927,-22.838499,576.797546
15:15:22:1772680923,119.258057,-210.246735,697.519714,226.833572,-148.384079,578.378357,224.431885,17.527252,383.108887,55.801407,68.065971,259.557892,-8.814030,59.806942,198.488754,-13.151765,-155.974380,769.283936,-233.631836,-25.201857,719.709412,-364.102112,31.418682,554.768982,-439.790558,-22.947231,578.405945
15:15:22:1772681067,110.583855,-207.846649,701.984863,217.177994,-132.423431,588.752930,197.049667,63.294350,424.251892,27.148024,128.843994,309.497955,12.448377,99.211945,226.480698,-20.756639,-155.103653,777.889404,-240.746201,-25.032953,723.395813,-376.065613,28.692871,561.178711,-447.231903,-33.002712,580.861450
15:15:22:1772681194,101.265656,-207.234375,711.505920,211.975449,-137.529099,603.273865,200.821198,60.993656,447.958588,36.388889,138.027557,339.002838,17.703287,115.970940,255.973724,-27.951933,-152.901627,784.914978,-242.912674,-24.538979,726.563232,-369.641815,34.022873,563.786377,-438.524567,-29.436264,577.537781
15:15:23:1772681339,100.558998,-207.247147,712.495728,211.427444,-137.933472,604.163940,200.901962,60.551167,448.751038,36.885799,138.119156,339.542236,18.230896,116.096931,256.495972,-28.522491,-152.560669,785.889465,-243.254807,-23.823797,727.507263,-369.876221,34.674805,564.620361,-438.853149,-28.662819,578.467834
15:15:23:1772681466,100.554962,-207.246628,712.502747,211.424255,-137.936569,604.169800,200.905777,60.543598,448.750885,36.892773,138.114624,339.539581,18.237104,116.090668,256.493958,-28.525196,-152.557800,785.896973,-243.256592,-23.819103,727.515869,-369.879364,34.679176,564.630005,-438.856903,-28.657309,578.479187
