TIME, NECK,,, SHOULDER_LEFT,,, ELBOW_LEFT,,, WRIST_LEFT,,, HAND_LEFT,,
, x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
20:23:51:1704789628,-208.243652,-101.182899,2458.039307,-115.288193,-12.753844,2542.702881,48.843525,138.464188,2502.386230,190.844269,60.006416,2402.834717,246.290039,76.293907,2348.933105,-221.666733,-77.331474,2315.387695,-74.261177,26.713730,2171.019531,33.789410,-131.927780,2188.666016,-10.179539,-186.891113,2236.474121
20:23:51:1704789771,-205.489807,-98.832344,2424.026123,-125.498924,-25.304056,2518.813721,27.717739,122.115532,2521.251953,172.024704,48.733807,2446.145264,230.691467,56.035641,2401.482178,-205.042374,-75.690613,2290.106445,-62.654869,8.811779,2150.371338,14.831707,-149.037415,2192.100586,-20.568047,-214.147720,2221.631836
20:23:51:1704789902,-201.523148,-116.138344,2412.513672,-74.973846,-92.172348,2388.077148,5.519845,-79.317940,2213.639404,-33.567982,-235.907028,2205.413818,-14.270993,-297.092987,2225.043945,-291.639374,-87.535194,2333.797119,-308.118439,-48.800034,2142.180176,-242.537018,-173.532608,2058.982178,-233.626114,-230.086639,2014.926880
20:23:51:1704790028,-194.740814,-112.891129,2405.211670,-58.258541,-97.686752,2392.456787,22.992455,-79.307121,2205.287354,-31.256285,-241.417023,2186.737549,-19.466961,-304.588745,2217.828125,-279.521576,-84.561485,2309.713379,-270.381195,-53.158211,2103.545166,-189.200684,-175.936111,2010.511597,-242.655075,-230.726929,2003.523315
20:23:51:1704790170,-162.887009,-110.720711,2392.507568,-62.964409,-113.155655,2490.198730,139.125565,-71.589890,2522.382568,243.261765,-139.952744,2399.100586,294.682678,-179.171844,2365.751221,-171.477386,-53.879486,2273.147461,-69.190712,96.629906,2162.903564,94.670357,54.715519,2109.130127,157.256958,39.352116,2064.578613
20:23:51:1704790302,-165.803040,-109.896973,2387.927490,-58.697968,-108.722153,2478.553467,142.432953,-60.034256,2501.480957,240.140320,-136.814316,2378.617676,297.987213,-179.142731,2367.409668,-181.194901,-49.592140,2271.312012,-62.814602,77.107834,2149.087646,55.053085,-48.479855,2108.464355,19.361530,-109.800179,2141.146729
20:23:52:1704790428,-172.688095,-101.836159,2383.793457,-56.726658,-91.985489,2451.108643,136.924652,-45.830608,2432.309814,213.472610,-114.022079,2299.430420,270.737823,-138.524948,2330.659424,-188.444626,-42.369438,2272.946289,-56.879074,41.475723,2141.903564,17.718904,-110.610069,2128.144775,-11.140771,-167.914932,2167.026123
20:23:52:1704790571,-173.161713,-101.795868,2386.129639,-57.102264,-91.558411,2453.406006,136.376587,-44.905254,2432.857422,211.373566,-114.447601,2299.666016,269.121796,-138.532257,2330.421387,-188.937408,-43.170372,2274.774414,-56.432293,38.731934,2143.258789,16.884617,-114.231750,2131.178955,-12.505157,-171.147430,2170.321289
20:23:52:1704790702,-178.093506,-101.907440,2393.704102,-60.119881,-87.078888,2457.268311,128.736984,-37.650505,2410.920654,192.537903,-114.245377,2275.192383,255.005600,-129.426987,2302.678711,-197.414688,-47.830067,2280.065186,-50.219879,22.942856,2157.098877,1.291540,-139.443665,2149.405762,-24.021074,-203.294754,2180.216797
20:23:52:1704790828,-176.207428,-102.958145,2401.405518,-50.399399,-94.477165,2461.203613,141.196426,-35.525494,2409.559570,194.819702,-124.289993,2270.162109,260.794128,-140.064514,2294.689697,-197.726212,-51.594395,2282.145264,-49.825745,29.626783,2155.588135,1.498424,-138.460907,2147.364990,-27.760849,-201.064774,2182.814941
