TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
14:54:33:1771431494,53.465656,-254.076965,654.100464,86.117119,-207.107513,560.770691,83.978188,-47.846676,575.130737,1.364879,-29.133427,679.249634,-24.403728,-60.583130,717.357544,31.227776,-191.246033,728.294434,-36.322819,-43.195488,736.636780,-121.438988,-4.376836,638.030273,-170.330231,13.469780,608.176941
14:54:33:1771431624,68.136703,-256.115753,681.430420,125.278336,-223.180237,589.290771,155.575516,-64.499405,554.301514,53.560787,18.371851,598.707397,22.371910,-10.656839,637.463379,29.897678,-186.480316,747.151550,-45.176556,-35.780220,742.828491,-122.103287,9.941239,634.529297,-172.824478,23.328594,601.451660
14:54:33:1771431751,91.928749,-270.342346,772.733582,174.071838,-242.757614,660.829590,208.423233,-135.939056,485.119659,39.372578,-160.642059,447.310577,-21.776836,-181.480179,414.084259,10.101125,-195.675705,841.577454,-174.219147,-90.081177,841.986023,-109.957924,-247.084076,790.814331,-71.234543,-311.243347,813.228455
14:54:33:1771431894,113.032799,-268.350189,798.938354,193.256622,-219.662704,685.109985,245.714554,-28.915554,595.589966,101.762978,43.145405,510.152405,72.071449,-21.436781,484.218475,27.262249,-202.963440,881.942017,-163.262817,-90.639221,876.063232,-101.775780,-252.134735,811.262207,-53.966293,-314.652100,790.214539
14:54:33:1771432024,130.066452,-259.224365,815.246216,210.940475,-199.780579,702.513367,245.220428,3.342986,622.669617,91.928841,51.509983,530.123352,44.241325,14.523745,482.328064,42.155891,-199.731323,903.531677,-154.846344,-90.881172,899.608582,-93.174042,-257.229034,838.093384,-50.212040,-326.704773,824.018127
14:54:33:1771432168,141.915283,-252.675598,837.592102,233.487778,-196.000214,729.883545,256.771149,11.321113,647.070068,113.199142,32.770931,526.994019,73.517502,-33.815182,516.547607,47.123699,-196.635605,924.986694,-150.044846,-82.009521,907.894958,-87.785202,-253.048264,850.754883,-46.888519,-325.371185,837.006836
14:54:33:1771432295,157.807190,-247.401566,850.909058,247.890060,-185.909119,732.978027,287.433868,28.346331,641.974609,132.835464,-3.907233,522.258179,82.564476,-63.115837,495.120026,57.163967,-192.852432,943.643555,-149.516998,-70.467056,930.043274,-78.797050,-243.539307,857.116760,-33.477512,-318.630188,844.653137
14:54:34:1771432425,154.498566,-245.103806,859.865723,255.477036,-184.884399,745.018127,299.806305,35.859333,655.350281,149.864609,-31.902098,535.768311,96.669357,-97.415504,532.653748,51.596634,-192.490768,956.643066,-151.695816,-54.045872,934.693909,-83.370201,-232.766998,858.415100,-35.061012,-309.102783,848.083130
14:54:34:1771432566,148.966690,-240.737045,858.187805,252.376740,-182.389923,745.161316,303.065765,39.301037,662.339661,154.808990,-35.869026,545.581848,103.681564,-102.421127,537.268127,48.265621,-188.216965,956.736145,-154.919006,-51.088287,929.815247,-79.287201,-229.687561,861.284851,-36.230663,-309.577515,858.247498
14:54:34:1771432696,140.747803,-243.208740,855.214417,238.825089,-182.571228,744.036560,299.035126,31.131342,664.415039,146.433777,-27.826353,552.937256,101.103012,-96.026306,545.938782,38.002647,-189.196976,945.789917,-158.547638,-57.085083,904.887634,-71.577675,-222.976028,833.435547,-30.904114,-301.182617,825.641846
14:54:34:1771432824,132.889267,-257.135193,843.990173,230.486038,-187.222595,733.964844,284.224976,33.207386,658.371094,127.522530,-25.118273,547.328247,101.424026,-99.438766,520.132629,27.131781,-199.090729,933.559448,-164.462097,-56.278988,885.886108,-71.009338,-221.243805,812.621582,-36.957783,-303.879028,804.710449
14:54:34:1771432967,118.676048,-250.903961,821.814941,217.313034,-179.914703,716.994690,274.172058,37.221401,642.701416,115.900635,-11.976332,533.576416,93.759941,-91.034035,526.708740,13.932384,-200.232117,913.245422,-178.633362,-62.988655,867.219849,-91.830254,-217.078445,771.808411,-41.862896,-285.836365,746.420532
14:54:34:1771433095,97.294731,-245.099503,789.282959,194.825409,-174.908066,687.685669,260.382751,38.839489,623.602173,98.374817,16.853466,516.948853,52.650696,-48.992355,528.848267,-4.699059,-197.350174,881.443604,-207.815018,-78.059128,855.518005,-180.348297,-172.592102,684.098083,-152.190567,-217.802948,614.978333
14:54:34:1771433224,74.981033,-243.355713,750.743164,173.646027,-169.218643,653.423218,246.852219,47.296196,611.380066,82.215416,46.005249,506.801849,25.634874,-8.864571,525.385254,-27.439301,-196.239975,842.711792,-232.928070,-80.626648,820.890930,-304.340240,-113.279442,639.653748,-339.258789,-125.715363,560.734741
14:54:35:1771433367,62.905819,-237.537476,728.391052,161.668839,-164.767502,632.642883,233.815018,50.888657,594.686523,69.756523,51.544758,492.082092,19.747375,-9.657416,506.480347,-40.761658,-187.006836,815.830505,-247.158920,-77.433960,791.799072,-363.755524,-67.173927,634.645569,-346.467499,-117.774826,566.653809
14:54:35:1771433495,46.475834,-229.602707,706.116333,145.811523,-159.992813,618.844299,223.801956,42.022243,575.091858,50.568699,58.837490,511.146912,0.752840,1.497336,498.630249,-54.055153,-177.331406,786.993896,-251.803345,-70.066910,794.808044,-375.020508,-58.532627,653.592224,-366.161102,-103.280991,584.386230
