TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
15:08:13:1772252264,80.715416,-218.026764,611.629822,202.207748,-206.762634,513.786865,304.935760,-81.474289,347.496246,177.488190,-28.410454,209.973328,129.688263,6.584667,154.878555,-17.254002,-126.094177,669.241699,-137.592911,75.905960,643.240051,-198.025528,81.009155,455.462280,-234.287018,55.006950,380.651184
15:08:14:1772252535,90.940247,-222.398224,625.485962,207.618561,-190.776260,520.005798,305.770630,-64.479156,343.873749,174.840164,-24.100069,198.604584,123.216934,14.311459,146.327347,-16.700163,-147.373520,696.314758,-212.160538,-5.153224,677.928589,-266.804291,-23.656334,484.114105,-261.066528,13.321033,403.069855
15:08:14:1772252666,95.080414,-223.199341,642.330017,222.328491,-187.247314,544.098206,307.996918,-52.651211,357.818726,180.994156,-30.312666,197.360092,126.456306,11.900325,146.884445,-22.000164,-152.120911,712.369751,-221.038696,-7.472873,668.626282,-284.866241,-41.235497,473.072113,-269.289642,6.260607,395.810638
15:08:14:1772252809,91.843475,-221.232681,649.062256,221.994492,-187.272614,556.399963,317.883759,-53.165672,376.761444,189.586044,-37.990070,218.054535,137.746323,-2.411760,160.912308,-29.304907,-151.120972,711.113647,-213.371384,14.279619,689.152161,-285.269714,-8.968449,496.186859,-274.098663,4.402495,406.381958
15:08:14:1772252936,95.979027,-222.636139,647.990051,224.672653,-183.896347,556.206055,325.842560,-46.051262,383.687500,197.887024,-38.489967,225.158066,144.620407,-6.018330,167.956604,-27.633980,-155.363113,707.774597,-208.783203,13.102487,700.221619,-285.025116,1.986101,508.691315,-278.444611,7.316526,417.953186
15:08:14:1772253065,98.283661,-222.759430,644.989258,223.588699,-178.236954,553.027039,323.111847,-33.405155,388.249786,197.818054,-25.433353,229.762039,146.234482,-5.885249,166.489716,-25.288403,-159.355530,706.105469,-201.485275,11.530802,707.434143,-278.277435,7.440202,517.675781,-280.062714,8.378230,427.315399
15:08:14:1772253208,86.631020,-221.083939,651.605225,208.807419,-179.554871,559.755920,292.948914,-37.312344,391.087738,178.563034,-20.542068,230.105408,138.729141,-7.383525,159.318741,-33.358727,-158.930283,713.187561,-226.280655,-24.481937,662.233948,-289.646851,-47.564579,473.201141,-273.244080,8.403983,406.508942
15:08:14:1772253336,91.699890,-225.496475,653.609375,221.114334,-197.875870,558.389771,309.931641,-62.667370,374.520416,174.496841,-51.756077,220.283340,134.389526,-8.549038,158.581482,-29.302492,-157.552048,718.825256,-231.340332,-22.916525,661.182434,-291.353455,-59.478317,465.251831,-274.894989,4.971061,401.862030
15:08:15:1772253466,86.660889,-226.373337,646.982849,184.134293,-204.322006,525.172058,309.940521,-42.042942,408.192749,182.269318,29.345259,274.238312,157.312134,23.008303,196.021698,-25.044254,-154.629059,713.486755,-227.678986,-30.362091,675.070496,-283.230103,-71.736053,486.537872,-276.500702,-13.102629,420.370941
15:08:15:1772253608,83.386024,-235.842133,637.593811,185.225845,-211.147827,527.716309,305.654816,-49.601017,422.013336,215.172058,50.705338,287.021271,182.834183,35.406033,216.263977,-19.349926,-165.412811,708.712891,-210.069595,-34.752384,691.248230,-342.726776,-4.974490,553.713074,-395.453735,-39.917065,496.381775
15:08:15:1772253736,82.888603,-241.393265,634.484375,165.876282,-215.790192,506.121033,301.225647,-49.553097,416.649780,217.369766,85.109489,303.313019,195.962234,48.527241,234.354691,-14.882311,-168.209015,715.694519,-214.874374,-42.060719,726.188354,-365.636108,-13.326032,601.992188,-413.845123,-59.099682,545.633240
15:08:15:1772253865,90.165245,-241.597809,629.127869,168.936523,-214.754929,495.537506,249.303345,-70.064995,327.923889,124.212502,26.834846,209.387695,160.802750,100.156479,214.135162,-8.612535,-166.606110,711.202087,-211.646088,-42.827076,743.819092,-357.195190,-22.051437,607.922668,-411.914246,-58.182560,548.666626
