TIME, NECK_x,NECK_y,NECK_z,SHOULDER_LEFT_x, SHOULDER_LEFT_y, SHOULDER_LEFT_z,ELBOW_LEFT_x, ELBOW_LEFT_y, ELBOW_LEFT_z, WRIST_LEFT_x, WRIST_LEFT_y, WRIST_LEFT_z, HAND_LEFT_x, HAND_LEFT_y, HAND_LEFT_z,SHOULDER_RIGHT_x, SHOULDER_RIGHT_y, SHOULDER_RIGHT_z,ELBOW_RIGHT_x, ELBOW_RIGHT_y, ELBOW_RIGHT_z, WRIST_RIGHTT_x, WRIST_RIGHT_y, WRIST_RIGHT_z, HAND_RIGHT_x, HAND_RIGHT_y, HAND_RIGHT_z
18:10:04:1783162846,100.677513,-198.632095,713.787354,192.749832,-154.135132,618.465027,187.558640,-4.345909,474.670410,41.045425,-7.432705,380.254791,-11.771649,-56.140732,371.533203,-2.753794,-139.548477,769.393799,-153.666412,0.486910,720.364258,-229.966858,9.121817,561.405457,-282.384277,7.966383,503.752716
18:10:04:1783163096,103.626076,-199.685425,713.025391,194.399567,-149.986877,612.089172,186.514465,-9.928361,450.220001,30.721069,-11.168839,360.516663,-27.609653,-50.411823,385.583252,-0.538550,-140.803696,776.720825,-162.315872,0.085115,736.582886,-240.131439,3.095363,572.026184,-284.562653,5.019078,505.089172
18:10:04:1783163177,118.726051,-198.798233,726.517517,218.801346,-142.759750,609.211243,196.522339,24.648846,436.017883,25.200352,11.933103,327.807739,-32.624557,-42.286285,356.475616,-2.533309,-131.832687,792.361511,-181.052063,31.342073,744.841553,-274.892395,22.002316,562.141418,-302.536469,-16.529541,484.756195
18:10:04:1783163306,119.646675,-197.106659,735.560303,224.301132,-143.906128,618.198120,187.454605,27.335449,448.219238,28.121202,23.063330,319.529785,-33.082619,-33.068249,337.884460,-7.160373,-127.083984,790.141968,-175.219330,41.023331,717.027405,-277.115265,40.152069,536.328674,-305.017242,-24.441269,477.717804
18:10:05:1783163450,125.144348,-194.615128,738.359131,230.246338,-141.904144,620.958435,175.158310,18.212049,444.343994,16.900703,24.209085,313.617157,-45.272308,-32.419132,327.637756,-4.225492,-128.026276,791.932129,-171.840622,35.844074,707.062744,-275.784424,40.316437,527.004272,-304.157837,-28.802071,473.670319
18:10:05:1783163577,128.544144,-201.243454,751.028687,232.004822,-148.972504,630.333984,183.360474,20.196453,457.458160,7.267922,28.636261,348.831787,-52.209316,-30.979551,331.529755,1.054764,-137.769989,814.089478,-172.842667,43.424427,802.967224,-279.367584,38.434856,622.413879,-303.637451,9.053893,538.055969
18:10:05:1783163705,130.436401,-203.217026,752.955566,231.769379,-146.483154,630.778625,169.171448,8.552268,447.927002,3.488138,6.563233,322.268616,-66.473526,-33.890675,352.646027,1.781538,-139.798264,815.520813,-171.437592,43.616398,806.130188,-295.851349,59.958611,637.012268,-311.636200,25.346031,552.192688
18:10:05:1783163850,124.484711,-203.682571,747.815857,228.550140,-149.392349,629.902344,177.339157,16.432568,456.932709,10.225445,12.608891,337.132202,-61.547142,-30.661293,353.453308,-2.390169,-139.406128,809.321411,-167.864883,47.232346,798.533325,-293.451721,75.507416,634.826904,-314.582092,36.939014,554.096130
18:10:05:1783163978,120.613907,-202.319824,745.264221,224.685730,-151.605133,629.924866,183.975250,20.310163,466.047241,14.888167,36.668205,356.286591,-50.630459,-15.228924,348.243805,-4.862286,-138.604553,803.681030,-163.246216,48.016743,784.366028,-283.759735,86.253891,623.238708,-316.992737,45.472858,549.709595
18:10:05:1783164104,121.972847,-200.709290,744.354553,228.255219,-150.897461,632.171448,187.937119,25.009930,474.702545,28.393789,55.031689,356.148529,-36.071396,2.721805,347.588043,-6.579257,-137.522308,794.190796,-161.307632,43.245598,739.981812,-274.422150,92.990501,578.208679,-331.788666,56.138874,519.675171
